epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,658.244,1.42233,0.97064,1.17238,0.84065,0.76222,0.87709,0.53342,1.37056,0.95425,1.16976,0.009769,0.009769,0.009769
44,673.482,1.41977,0.93319,1.16218,0.8507,0.79389,0.87393,0.57164,1.27626,0.9618,1.17737,0.0097635,0.0097635,0.0097635
45,688.921,1.42629,0.96547,1.1534,0.79442,0.83629,0.8461,0.55984,1.22716,0.93643,1.17621,0.009758,0.009758,0.009758
46,704.184,1.37128,0.92776,1.13962,0.80167,0.80461,0.86491,0.55404,1.20986,0.92119,1.17892,0.0097525,0.0097525,0.0097525
47,719.425,1.39081,0.95191,1.11985,0.86612,0.78716,0.88761,0.56997,1.20969,0.86706,1.16793,0.009747,0.009747,0.009747
48,734.649,1.38042,0.95901,1.16771,0.85223,0.82367,0.89921,0.58847,1.18063,0.84902,1.26953,0.0097415,0.0097415,0.0097415
49,749.855,1.37113,0.96932,1.16789,0.79674,0.85284,0.8587,0.55782,1.23204,0.88964,1.21987,0.009736,0.009736,0.009736
50,765.108,1.3936,0.95304,1.14652,0.7659,0.81583,0.84228,0.54767,1.18636,0.93816,1.1746,0.0097305,0.0097305,0.0097305
51,780.449,1.34205,0.91992,1.16762,0.81474,0.78869,0.86199,0.55194,1.22642,0.91579,1.23875,0.009725,0.009725,0.009725
52,795.652,1.36713,0.93956,1.14692,0.80732,0.81116,0.88008,0.58186,1.19399,0.88137,1.2241,0.0097195,0.0097195,0.0097195
53,810.831,1.35498,0.91001,1.16542,0.83404,0.82235,0.89059,0.57459,1.20404,0.92915,1.18656,0.009714,0.009714,0.009714
54,826.067,1.35298,0.91844,1.13496,0.85141,0.78978,0.86504,0.564,1.21345,0.90647,1.20162,0.0097085,0.0097085,0.0097085
55,841.298,1.3615,0.93048,1.15584,0.84516,0.75559,0.86456,0.56898,1.24277,0.91218,1.23481,0.009703,0.009703,0.009703
56,856.602,1.36858,0.95312,1.12314,0.84366,0.80308,0.87035,0.57449,1.1773,0.90226,1.21189,0.0096975,0.0096975,0.0096975
57,871.798,1.36137,0.8915,1.10936,0.85174,0.7856,0.87191,0.57857,1.18697,0.84912,1.15852,0.009692,0.009692,0.009692
58,887.1,1.34145,0.91452,1.13648,0.77486,0.72066,0.84311,0.53292,1.23305,0.92917,1.26956,0.0096865,0.0096865,0.0096865
59,902.321,1.35966,0.91916,1.14068,0.82455,0.84241,0.90366,0.57541,1.20989,0.86155,1.15845,0.009681,0.009681,0.009681
60,917.585,1.37726,0.9255,1.17959,0.85814,0.77292,0.87095,0.58531,1.16413,0.89357,1.17209,0.0096755,0.0096755,0.0096755
61,932.826,1.3489,0.91541,1.16561,0.81753,0.81837,0.87322,0.5651,1.19005,0.90525,1.18057,0.00967,0.00967,0.00967
62,948.246,1.37793,0.91317,1.16593,0.83425,0.82848,0.8923,0.58466,1.21369,0.87003,1.17787,0.0096645,0.0096645,0.0096645
63,963.429,1.35717,0.91152,1.14657,0.84413,0.77907,0.87383,0.55949,1.20573,0.90237,1.23299,0.009659,0.009659,0.009659
64,978.647,1.35963,0.92527,1.15582,0.85449,0.76371,0.88298,0.53357,1.30956,0.96012,1.21889,0.0096535,0.0096535,0.0096535
65,993.911,1.35286,0.92464,1.14188,0.79461,0.83314,0.87141,0.5616,1.24588,0.91874,1.20895,0.009648,0.009648,0.009648
66,1009.1,1.31986,0.90019,1.10055,0.8879,0.78238,0.88826,0.57973,1.17514,0.84059,1.14147,0.0096425,0.0096425,0.0096425
67,1024.47,1.33992,0.89712,1.14006,0.83579,0.80694,0.8796,0.55797,1.23518,0.93261,1.22543,0.009637,0.009637,0.009637
68,1039.69,1.35764,0.90501,1.13014,0.8597,0.81194,0.89468,0.59339,1.11265,0.82252,1.14887,0.0096315,0.0096315,0.0096315
69,1054.98,1.36963,0.90766,1.15673,0.82896,0.78277,0.8867,0.59779,1.11638,0.87245,1.21001,0.009626,0.009626,0.009626
70,1070.22,1.36655,0.94019,1.16792,0.82831,0.82473,0.88657,0.59892,1.15878,0.86797,1.19147,0.0096205,0.0096205,0.0096205
71,1085.47,1.34421,0.91235,1.14822,0.82643,0.7919,0.87583,0.56057,1.23202,0.88052,1.20277,0.009615,0.009615,0.009615
72,1100.7,1.32988,0.87357,1.12218,0.82936,0.81997,0.87499,0.59228,1.10322,0.8391,1.26672,0.0096095,0.0096095,0.0096095
73,1116.09,1.35191,0.91356,1.13907,0.86619,0.83576,0.89906,0.58889,1.19426,0.86313,1.27176,0.009604,0.009604,0.009604
74,1131.36,1.31426,0.86805,1.16907,0.7954,0.85375,0.87845,0.60178,1.06976,0.84321,1.17997,0.0095985,0.0095985,0.0095985
75,1146.65,1.36213,0.88769,1.12294,0.81303,0.82808,0.87072,0.58815,1.13292,0.86034,1.16752,0.009593,0.009593,0.009593
76,1161.86,1.36927,0.92406,1.1368,0.81805,0.8223,0.87988,0.58437,1.15707,0.88395,1.14329,0.0095875,0.0095875,0.0095875
77,1177.11,1.34788,0.90992,1.15082,0.81225,0.8026,0.8822,0.58273,1.17208,0.87157,1.15795,0.009582,0.009582,0.009582
78,1192.32,1.36224,0.91006,1.13928,0.86333,0.83987,0.89443,0.58495,1.18955,0.83784,1.1486,0.0095765,0.0095765,0.0095765
79,1207.68,1.3382,0.89766,1.11814,0.87307,0.80807,0.89329,0.60207,1.08239,0.8474,1.18225,0.009571,0.009571,0.009571
80,1222.92,1.32998,0.89806,1.11572,0.85193,0.78414,0.88274,0.59314,1.15299,0.92564,1.22765,0.0095655,0.0095655,0.0095655
81,1238.11,1.33377,0.91542,1.13645,0.86558,0.78719,0.88307,0.58654,1.15705,0.86097,1.19212,0.00956,0.00956,0.00956
82,1253.31,1.36421,0.8955,1.15678,0.83281,0.81385,0.89443,0.57756,1.19321,0.85956,1.20206,0.0095545,0.0095545,0.0095545
83,1268.52,1.33679,0.90295,1.1349,0.85022,0.76818,0.8664,0.5754,1.1209,0.91047,1.17028,0.009549,0.009549,0.009549
84,1283.8,1.36144,0.8704,1.1348,0.84815,0.81838,0.89445,0.5871,1.16255,0.79516,1.15103,0.0095435,0.0095435,0.0095435
85,1299.2,1.35155,0.89904,1.09795,0.86213,0.81083,0.89347,0.5896,1.13789,0.8232,1.16598,0.009538,0.009538,0.009538
86,1314.44,1.33444,0.86546,1.13549,0.85489,0.818,0.90839,0.5955,1.20274,0.83377,1.19912,0.0095325,0.0095325,0.0095325
87,1329.72,1.34548,0.87623,1.12381,0.82595,0.82048,0.89922,0.60202,1.13185,0.82983,1.16242,0.009527,0.009527,0.009527
88,1345.02,1.34061,0.88325,1.13759,0.87344,0.81129,0.89532,0.59239,1.11399,0.80236,1.16287,0.0095215,0.0095215,0.0095215
89,1360.26,1.33866,0.87653,1.14279,0.84339,0.81687,0.8872,0.59857,1.16453,0.87239,1.20129,0.009516,0.009516,0.009516
90,1375.6,1.33152,0.87056,1.14449,0.84632,0.8338,0.89543,0.599,1.19679,0.84114,1.17201,0.0095105,0.0095105,0.0095105
91,1390.84,1.32613,0.89827,1.11737,0.80403,0.81863,0.88625,0.58584,1.14226,0.85518,1.19375,0.009505,0.009505,0.009505
92,1406.09,1.32974,0.90005,1.11248,0.81443,0.81457,0.87321,0.59387,1.14211,0.87113,1.19993,0.0094995,0.0094995,0.0094995
93,1421.35,1.35397,0.89204,1.11474,0.84638,0.81502,0.8943,0.60129,1.14107,0.86053,1.16777,0.009494,0.009494,0.009494
94,1436.54,1.35255,0.89601,1.11821,0.82636,0.83487,0.8937,0.60411,1.14312,0.83019,1.17162,0.0094885,0.0094885,0.0094885
95,1451.82,1.34333,0.88033,1.14077,0.89867,0.79918,0.89256,0.59294,1.14132,0.86491,1.15451,0.009483,0.009483,0.009483
96,1467.24,1.33179,0.8754,1.11802,0.88303,0.81307,0.88883,0.60897,1.09749,0.80565,1.20432,0.0094775,0.0094775,0.0094775
97,1482.51,1.2968,0.84164,1.12452,0.84067,0.78538,0.87699,0.58354,1.20094,0.85874,1.23829,0.009472,0.009472,0.009472
98,1497.75,1.33435,0.86791,1.1582,0.86335,0.79829,0.89584,0.60484,1.12867,0.789,1.17103,0.0094665,0.0094665,0.0094665
99,1513,1.31388,0.8552,1.09304,0.87442,0.74195,0.87732,0.59906,1.13515,0.83777,1.17792,0.009461,0.009461,0.009461
100,1528.28,1.30993,0.85394,1.10098,0.8783,0.78636,0.88544,0.57141,1.20435,0.82105,1.1529,0.0094555,0.0094555,0.0094555
101,1543.65,1.33224,0.89448,1.13578,0.88415,0.75718,0.8867,0.59637,1.09647,0.79394,1.15105,0.00945,0.00945,0.00945
102,1558.94,1.31897,0.8526,1.1104,0.86122,0.82731,0.89141,0.60958,1.11998,0.79756,1.14304,0.0094445,0.0094445,0.0094445
103,1574.22,1.3315,0.87212,1.11349,0.8512,0.80011,0.87265,0.59487,1.11095,0.82464,1.14512,0.009439,0.009439,0.009439
104,1589.48,1.31498,0.86974,1.11179,0.83443,0.83645,0.89069,0.59696,1.15281,0.82997,1.17026,0.0094335,0.0094335,0.0094335
105,1604.77,1.34273,0.87552,1.13723,0.83659,0.79932,0.89622,0.60258,1.14806,0.78726,1.15381,0.009428,0.009428,0.009428
106,1620.01,1.31354,0.83496,1.13749,0.86699,0.82092,0.90872,0.62665,1.11551,0.82221,1.17283,0.0094225,0.0094225,0.0094225
107,1635.46,1.32544,0.87087,1.13373,0.84534,0.8507,0.89681,0.58699,1.15666,0.82736,1.2068,0.009417,0.009417,0.009417
108,1650.67,1.31497,0.84613,1.13196,0.80402,0.86572,0.90312,0.60893,1.14579,0.81785,1.21851,0.0094115,0.0094115,0.0094115
109,1665.9,1.34216,0.86598,1.15563,0.87463,0.79595,0.90456,0.61802,1.12624,0.79153,1.16755,0.009406,0.009406,0.009406
110,1681.09,1.30426,0.84033,1.14358,0.8893,0.77286,0.88665,0.60868,1.10104,0.82634,1.14982,0.0094005,0.0094005,0.0094005
111,1696.3,1.32211,0.85645,1.12178,0.83754,0.84013,0.89638,0.60236,1.13002,0.80881,1.18846,0.009395,0.009395,0.009395
112,1711.71,1.32542,0.83505,1.11541,0.8263,0.8234,0.90437,0.62434,1.10546,0.80258,1.18231,0.0093895,0.0093895,0.0093895
113,1726.94,1.3324,0.87623,1.14323,0.8923,0.76136,0.89354,0.60029,1.15304,0.81442,1.21667,0.009384,0.009384,0.009384
114,1742.16,1.31839,0.88226,1.13407,0.8481,0.84191,0.88289,0.60277,1.11508,0.81239,1.15659,0.0093785,0.0093785,0.0093785
115,1757.38,1.32389,0.8518,1.11183,0.86187,0.81463,0.89265,0.62175,1.10521,0.81054,1.15367,0.009373,0.009373,0.009373
116,1772.64,1.30105,0.87715,1.12684,0.88777,0.8246,0.91301,0.63449,1.07456,0.78202,1.15028,0.0093675,0.0093675,0.0093675
117,1787.94,1.30444,0.84868,1.1211,0.86022,0.83751,0.9088,0.62521,1.08984,0.82511,1.15606,0.009362,0.009362,0.009362
118,1803.38,1.31694,0.87895,1.10493,0.83892,0.81417,0.8804,0.61631,1.12421,0.83692,1.1558,0.0093565,0.0093565,0.0093565
119,1818.62,1.26083,0.81956,1.10073,0.79049,0.83221,0.87838,0.59605,1.14859,0.83034,1.19802,0.009351,0.009351,0.009351
120,1833.87,1.29731,0.86173,1.11074,0.79015,0.82343,0.88722,0.59359,1.15819,0.84758,1.20644,0.0093455,0.0093455,0.0093455
121,1849.15,1.2955,0.855,1.13591,0.82463,0.86181,0.89896,0.6277,1.0937,0.79852,1.16458,0.00934,0.00934,0.00934
122,1864.41,1.30345,0.87596,1.12411,0.84178,0.83033,0.88448,0.61066,1.13324,0.83068,1.16566,0.0093345,0.0093345,0.0093345
123,1879.82,1.34081,0.84863,1.09508,0.85061,0.79431,0.88289,0.61126,1.15316,0.82354,1.20031,0.009329,0.009329,0.009329
124,1895.09,1.30563,0.84126,1.13964,0.85977,0.78986,0.89118,0.61425,1.13353,0.83135,1.20754,0.0093235,0.0093235,0.0093235
125,1910.33,1.31165,0.85304,1.12618,0.87173,0.81001,0.90784,0.61967,1.14673,0.802,1.22209,0.009318,0.009318,0.009318
126,1925.55,1.29709,0.84849,1.08928,0.85416,0.79303,0.89129,0.61391,1.11274,0.80227,1.2025,0.0093125,0.0093125,0.0093125
127,1940.74,1.28868,0.81215,1.1196,0.83092,0.82086,0.90359,0.64131,1.08622,0.78276,1.13885,0.009307,0.009307,0.009307
128,1955.98,1.32408,0.88389,1.10982,0.86304,0.84683,0.9096,0.62899,1.09062,0.78241,1.1774,0.0093015,0.0093015,0.0093015
129,1971.32,1.32026,0.84813,1.10093,0.85868,0.80428,0.89763,0.62685,1.05035,0.78468,1.17745,0.009296,0.009296,0.009296
130,1986.51,1.28583,0.81019,1.12062,0.88973,0.81296,0.9067,0.61663,1.12996,0.7684,1.19734,0.0092905,0.0092905,0.0092905
131,2001.69,1.2935,0.84069,1.13073,0.85468,0.81203,0.88835,0.61519,1.08214,0.80593,1.1545,0.009285,0.009285,0.009285
