class_id,latitude,longitude,length,heading,date,time
1,41.367195,9.173436,27.7,140.3746598070517,20220123,10:19:24
1,41.621187,9.310598,24.1,5.729577951308233,20220108,10:19:16
1,41.434759,9.30097,25.1,17.761691649055592,20220123,10:19:24
0,41.372258,9.160176,17.9,41.82591904455009,20220116,10:29:21
0,41.597019,9.286963,27.1,171.31438074411614,20220116,10:29:07
0,41.595664,9.288517,29.6,20.62648062470964,20220116,10:29:07
1,41.368991,9.177267,25.9,22.345354010102085,20220118,10:19:30
1,41.470982,9.069401,34.5,48.12845479098915,20220108,10:19:16
0,41.725921,9.428449,22.6,80.78704911344606,20220116,10:29:07
1,41.298189,9.177673,65.4,161.57409822689215,20220118,10:19:30
0,41.586907,9.296277,22.3,34.95042550298022,20220108,10:19:16
0,41.60239,9.299708,24.5,88.80845824527762,20220128,10:19:15
1,41.604751,9.292398,22.9,32.0856365273261,20220113,10:19:11
1,41.494829,9.337189,25.8,120.32113697747286,20220123,10:19:09
0,41.595754,9.288398,27.4,30.939720937064457,20220123,10:19:09
0,41.354352,9.205082,21.0,166.15776058793872,20220108,10:19:31
1,41.439451,9.076191,36.2,52.139159356904884,20220108,10:19:34
1,41.596539,9.298361,16.8,79.64113352318442,20220123,10:19:09
1,41.515971,9.345568,22.4,59.58761069360562,20220116,10:29:07
1,41.460268,9.385744,24.3,179.90874767107846,20220108,10:19:31
1,41.598906,9.288772,22.4,42.97183463481174,20220116,10:29:07
0,41.453362,9.403303,23.9,115.7374746164263,20220123,10:19:24
