class_id,latitude,longitude,confidence,length,breadth,heading
0,41.92082294,8.74264374,0.794,259.6,49.1,164.0
0,41.92545633,8.74162474,0.77,163.0,37.3,177.0
0,41.92252484,8.74286608,0.769,259.2,41.6,177.0
0,41.92078756,8.77479684,0.719,79.1,22.7,169.0
0,41.92199271,8.74189894,0.64,92.7,18.8,177.0
0,41.92910284,8.74328627,0.451,76.1,19.2,83.0
0,41.91722105,8.75523454,0.433,39.6,18.3,169.0
0,41.92416403,8.74100545,0.357,78.4,17.4,176.0
0,41.91490935,8.74677199,0.319,40.5,16.9,76.0
0,42.06142341,8.69964971,0.306,31.3,16.5,144.0
0,41.94237361,8.589451,0.294,99.2,45.3,108.0
0,41.9297159,8.74754655,0.282,28.4,12.8,64.0
0,41.93003533,8.74339365,0.264,71.1,22.8,40.0
0,41.93694371,8.58779006,0.26,72.6,25.1,101.0
0,42.04555987,8.7323664,0.238,45.8,14.6,134.0
0,42.06968087,8.57319913,0.232,38.2,26.7,139.0
0,41.93038225,8.74642594,0.213,30.6,11.1,76.0
0,41.92872851,8.74525318,0.213,19.5,16.5,135.0
0,41.97700071,8.61184907,0.212,85.2,40.6,155.0
0,42.11690717,8.596035,0.2,36.9,16.4,53.0
0,42.05397035,8.73190989,0.196,31.1,14.5,93.0
0,41.90605542,8.60326003,0.195,99.7,22.4,103.0
0,41.92486071,8.74004944,0.19,88.9,21.4,85.0
0,41.92744832,8.74449992,0.178,28.4,13.2,62.0
0,41.93023704,8.7443276,0.174,33.5,12.2,141.0
0,41.92988034,8.7455386,0.174,38.0,12.8,136.0
0,42.1314371,8.56400749,0.155,37.7,16.2,98.0
0,41.92402333,8.74113012,0.137,54.5,16.1,177.0
0,41.90713315,8.78142464,0.133,38.5,13.5,123.0
0,41.91859632,8.74205064,0.126,125.6,26.2,121.0
0,42.10799733,8.6965638,0.101,37.6,18.1,64.0
0,42.07265836,8.70086191,0.101,45.4,16.3,135.0
0,41.92853049,8.74164766,0.101,135.8,30.8,89.0
0,42.07323716,8.57178423,0.099,30.6,15.1,101.0
0,41.92772954,8.74605147,0.092,35.7,15.0,69.0
0,41.92071643,8.74043941,0.089,25.0,21.8,83.0
0,41.92841031,8.74322674,0.08,56.0,16.6,86.0
0,41.92867285,8.74282853,0.077,129.5,22.9,86.0
0,41.92732673,8.75510024,0.076,28.2,14.1,63.0
0,41.92865618,8.74246632,0.072,133.9,25.6,86.0
0,41.91146011,8.73973575,0.07,35.8,14.6,41.0
0,41.92483295,8.77390584,0.058,28.9,13.6,51.0
0,41.91913325,8.74293684,0.056,73.6,21.3,121.0
0,41.92858268,8.74204963,0.051,122.7,21.6,88.0
0,41.91932806,8.74361026,0.05,30.3,13.5,76.0
0,41.92351301,8.77521764,0.049,28.4,17.0,79.0
0,41.92824899,8.75104795,0.048,23.3,13.4,122.0
0,41.92263662,8.7646997,0.044,50.2,11.7,102.0
0,41.9199084,8.74052656,0.043,29.2,14.2,180.0
0,41.9225872,8.76383524,0.035,61.5,19.3,104.0
0,41.92889442,8.74668902,0.033,41.9,12.7,138.0
0,41.93096263,8.75358949,0.032,48.1,11.9,29.0
0,42.12216499,8.6233481,0.031,114.9,27.9,180.0
0,42.08555919,8.70235116,0.029,66.4,34.0,62.0
0,41.92190828,8.78051919,0.026,20.1,19.5,173.0
0,41.92978758,8.74301322,0.026,42.9,15.5,44.0
0,42.12278918,8.57734157,0.026,32.0,13.1,160.0
0,41.91950527,8.74047569,0.024,23.1,11.4,180.0
0,42.12222188,8.62900476,0.023,61.6,19.2,180.0
0,41.9229281,8.76311872,0.022,37.9,17.2,20.0
0,41.92543029,8.77516806,0.022,27.0,18.9,53.0
0,41.9194737,8.74321627,0.02,53.0,21.2,143.0
0,41.91929153,8.7646364,0.02,108.0,54.2,19.0
0,42.06931902,8.5743502,0.019,30.8,22.6,154.0
0,41.93074451,8.5759523,0.017,223.0,194.3,73.0
0,41.92384914,8.77640816,0.017,24.4,15.6,45.0
0,41.92102537,8.74046049,0.017,32.8,20.8,171.0
0,41.90980373,8.73534407,0.017,25.9,13.9,53.0
0,41.92740233,8.75572749,0.016,20.9,10.8,62.0
0,41.93190294,8.74328934,0.014,77.1,28.3,120.0
0,41.91957328,8.740481,0.014,28.1,11.6,1.0
0,41.91992159,8.74328129,0.013,27.6,10.6,164.0
0,41.91936939,8.76639622,0.012,49.6,21.7,168.0
0,41.92271099,8.76333572,0.011,30.9,19.4,21.0
0,41.92800557,8.74322033,0.011,26.6,12.5,156.0
0,42.01720371,8.72822705,0.011,55.5,15.5,35.0
0,41.92947553,8.7427672,0.011,26.5,25.3,86.0
0,41.9217983,8.76224253,0.011,105.2,22.7,123.0
0,41.92074816,8.73995698,0.01,38.9,34.2,90.0
0,41.93204544,8.74174127,0.01,57.1,19.3,10.0
0,42.06285698,8.71334017,0.01,35.1,12.3,76.0
0,41.93136226,8.74170638,0.01,142.7,34.6,179.0
0,42.1244332,8.57457383,0.01,32.4,15.1,148.0
0,42.05694319,8.74319515,0.009,39.3,22.1,179.0
0,41.92139625,8.76501605,0.009,52.4,14.3,103.0
0,41.94205068,8.58881956,0.009,32.0,28.0,75.0
0,41.93179817,8.7416607,0.009,74.0,22.2,8.0
0,42.1310616,8.597947,0.009,42.3,18.8,11.0
0,41.91922899,8.74041006,0.008,20.3,16.0,90.0
0,42.0726184,8.5712247,0.008,21.9,16.9,102.0
0,41.93150933,8.74306347,0.007,25.6,18.5,32.0
0,41.92001023,8.76377016,0.007,74.7,22.9,33.0
0,42.11981524,8.63629958,0.006,77.1,29.5,15.0
0,42.12306393,8.57729815,0.006,23.8,13.1,157.0
0,41.92370236,8.74073077,0.006,25.0,13.1,172.0
0,41.92465017,8.7396339,0.006,23.8,13.5,85.0
0,41.98680128,8.6250196,0.006,28.3,17.3,141.0
0,42.10121169,8.65928274,0.006,78.3,27.4,114.0
0,42.12319434,8.57404522,0.006,30.3,14.8,151.0
0,41.91859365,8.74335392,0.005,26.0,15.5,131.0
0,41.92216296,8.74199637,0.005,101.9,22.6,177.0
0,41.92521103,8.73958777,0.005,65.3,14.7,80.0
0,41.92389396,8.74073219,0.005,46.7,14.7,176.0
0,41.91864117,8.74075653,0.005,30.2,12.7,41.0
0,41.93078018,8.74323367,0.005,25.5,12.3,85.0
0,41.93161636,8.75093152,0.005,29.1,13.8,82.0
0,41.93079389,8.74349313,0.004,26.1,12.0,91.0
0,41.90537653,8.799421,0.004,29.3,15.7,64.0
0,41.93025814,8.75643564,0.004,67.8,17.4,93.0
0,42.12942517,8.58008401,0.004,40.8,16.4,70.0
0,41.91892398,8.74043187,0.004,30.4,12.7,69.0
0,41.91839404,8.74114239,0.004,29.8,28.6,33.0
0,41.92890856,8.74114751,0.004,68.4,20.3,86.0
0,41.92541326,8.77352472,0.004,19.3,14.7,66.0
0,41.93301064,8.74925998,0.004,20.4,15.2,86.0
0,41.90564691,8.65833229,0.004,52.3,21.1,63.0
0,41.91910938,8.74381269,0.004,73.2,15.9,82.0
0,42.02836515,8.75330738,0.004,39.2,18.4,12.0
0,41.90659777,8.78180649,0.004,40.4,21.5,125.0
0,41.92206833,8.74083118,0.004,34.4,15.2,176.0
0,42.12202246,8.62040683,0.004,101.7,65.4,177.0
0,41.92230536,8.74480846,0.004,18.8,13.3,159.0
0,41.97012993,8.60508734,0.004,115.8,24.0,179.0
0,41.9179002,8.7416965,0.003,20.3,15.9,120.0
0,41.93964385,8.60054924,0.003,117.0,55.0,90.0
0,41.92281431,8.76458229,0.003,33.8,15.7,101.0
0,41.92396987,8.74211357,0.003,20.3,13.5,87.0
0,42.1064331,8.70001587,0.003,65.1,28.9,87.0
0,41.92432678,8.74031047,0.003,22.7,19.6,85.0
0,42.01846308,8.58095845,0.003,34.0,20.4,74.0
0,41.93041719,8.74251834,0.003,100.8,27.0,176.0
0,41.9151605,8.79023859,0.003,35.6,20.9,130.0
0,41.97151277,8.63238859,0.003,66.0,25.4,18.0
0,41.93697331,8.58811253,0.003,72.7,25.1,110.0
0,41.90560832,8.79946964,0.003,39.0,16.6,60.0
0,41.92183678,8.74071436,0.003,25.9,14.8,179.0
0,41.92057395,8.74050009,0.003,34.5,15.3,87.0
0,41.91811526,8.74315748,0.002,23.7,15.8,28.0
0,41.93174021,8.74280121,0.002,31.1,24.2,122.0
0,42.04527303,8.73274946,0.002,65.4,25.5,138.0
0,41.96726863,8.60056241,0.002,46.7,19.9,89.0
0,41.92892826,8.74767539,0.002,18.6,10.0,52.0
0,42.04351541,8.71834828,0.002,49.1,29.2,76.0
0,42.11731651,8.59707619,0.002,23.6,19.8,57.0
0,42.12726748,8.66423649,0.002,29.3,25.5,131.0
0,41.96243913,8.59065783,0.002,61.1,38.5,77.0
0,41.93082308,8.74269001,0.002,71.7,26.5,175.0
0,41.93043135,8.74385072,0.002,18.8,17.2,143.0
0,41.92548138,8.74022824,0.002,34.4,14.4,86.0
0,42.05712337,8.74328049,0.002,36.5,28.2,177.0
0,41.90708624,8.79699065,0.002,62.0,14.0,116.0
0,42.12289592,8.57723406,0.002,35.6,13.9,160.0
0,41.92235525,8.76418968,0.002,49.2,26.7,102.0
0,41.9244867,8.73957559,0.002,22.2,14.0,83.0
0,41.92066684,8.74076056,0.002,41.1,22.3,179.0
0,41.91900969,8.74028335,0.002,32.7,12.3,86.0
0,41.9244035,8.7003555,0.002,53.1,22.8,151.0
0,41.92261696,8.76297282,0.002,26.7,21.3,19.0
0,41.92013112,8.74358019,0.001,43.5,16.8,162.0
0,42.07021874,8.78365799,0.001,41.9,20.3,0.0
0,42.12752878,8.66386252,0.001,32.0,22.6,80.0
0,41.91950634,8.74289419,0.001,58.4,15.3,129.0
0,41.90527658,8.60278009,0.001,111.9,25.6,105.0
0,42.12215354,8.62814625,0.001,88.4,34.0,178.0
0,41.91428137,8.73090453,0.001,147.3,27.9,90.0
0,42.06808467,8.72088417,0.001,26.3,13.1,103.0
0,41.93019295,8.74157017,0.001,181.4,29.2,177.0
0,41.97014034,8.60595852,0.001,89.5,26.0,179.0
0,41.93036533,8.74559032,0.001,16.0,12.8,67.0
0,41.94414674,8.78559906,0.001,46.6,13.8,6.0
0,41.97120417,8.80874899,0.001,29.3,13.0,72.0
0,41.92762481,8.74349767,0.001,24.1,10.8,81.0
0,42.07318241,8.57193125,0.001,35.8,16.3,101.0
0,42.08862794,8.70544313,0.001,27.0,19.6,60.0
0,42.11095783,8.63311005,0.001,59.3,21.6,91.0
0,41.92098131,8.61562331,0.001,55.0,18.8,91.0
0,42.12925823,8.58750198,0.001,70.2,19.2,42.0
0,41.98119336,8.66720424,0.001,42.8,25.0,82.0
0,41.92066936,8.74031526,0.001,37.0,16.1,88.0
0,41.92549015,8.74045056,0.001,38.0,16.7,86.0
0,41.92899942,8.74096187,0.001,50.1,18.8,87.0
0,42.13282089,8.60651125,0.001,62.6,17.6,43.0
0,42.13080986,8.58159994,0.001,51.4,21.7,75.0
0,41.92993965,8.74140141,0.001,146.5,25.8,178.0
0,42.00924362,8.65658965,0.001,57.4,33.4,162.0
0,41.93072871,8.57793124,0.001,277.9,139.4,63.0
0,41.9193824,8.74036853,0.001,23.8,14.9,1.0
0,41.92106361,8.56465584,0.001,175.3,144.3,85.0
0,42.04358261,8.71960892,0.001,79.8,33.3,33.0
0,42.06763835,8.72089235,0.001,25.0,19.3,48.0
