matched,gt_class,gt_lat,gt_lon,dt_class,dt_lat,dt_lon,dt_conf
True,0.0,41.92542369709549,8.775133374405844,0.0,41.92541618,8.77516171,0.9
True,0.0,42.13397578027388,8.61196998124571,0.0,42.13396165,8.612006,0.888
True,0.0,42.04258202815421,8.739642700699155,0.0,42.04257129,8.73966837,0.886
True,0.0,42.04214089583718,8.738402455549451,0.0,42.04213101,8.73843339,0.885
True,0.0,41.92626461137411,8.770188893742407,0.0,41.92624078,8.77020283,0.883
True,0.0,42.1116120881034,8.698152237958128,0.0,42.11160525,8.69815912,0.882
True,0.0,42.11396983421891,8.689450584488153,0.0,42.11395397,8.68947011,0.882
True,0.0,41.98679868360715,8.624939961772803,0.0,41.98677093,8.62499252,0.882
True,0.0,42.11327215858679,8.692296823357214,0.0,42.11326167,8.69231729,0.881
True,0.0,41.99261863484333,8.664842993222406,0.0,41.99260996,8.66486293,0.879
True,0.0,41.99231818416822,8.66575048967341,0.0,41.99230049,8.6657653,0.877
True,0.0,42.1333150332754,8.612130855616572,0.0,42.13329498,8.61214798,0.876
True,0.0,42.132837822822815,8.611441983310582,0.0,42.13281787,8.61147525,0.876
True,0.0,42.1093766618307,8.690589080035776,0.0,42.10937235,8.69062019,0.875
True,0.0,42.06357720048102,8.735172593180646,0.0,42.06356523,8.73519507,0.875
True,0.0,42.1116273884907,8.699517607618505,0.0,42.11162008,8.69954762,0.875
True,0.0,42.112195030249424,8.689677458600903,0.0,42.11218625,8.68971105,0.874
True,0.0,42.06316683812069,8.735833965594182,0.0,42.06315258,8.73583685,0.874
True,0.0,42.06356699249429,8.736389463421768,0.0,42.06356141,8.7364131,0.874
True,0.0,41.92602727416024,8.774572376599759,0.0,41.92601741,8.77459669,0.873
True,0.0,42.11334865848274,8.690556080164832,0.0,42.11332368,8.69058644,0.872
True,0.0,41.90514863117832,8.679277343023188,0.0,41.90512405,8.67931595,0.871
True,0.0,41.90535125254383,8.678679220362298,0.0,41.90533999,8.67869752,0.87
True,0.0,41.93222264232243,8.7443303688144,0.0,41.93220865,8.74436905,0.87
True,0.0,42.11285599753548,8.69085720398721,0.0,42.11283421,8.6908806,0.868
True,0.0,42.11293861796158,8.689665083649299,0.0,42.11291275,8.68969945,0.868
True,0.0,41.99176428839002,8.664892493028823,0.0,41.99175428,8.66492199,0.868
True,0.0,41.93313575147117,8.746377277476144,0.0,41.93311685,8.74640187,0.868
True,0.0,42.111443783599285,8.696960117620216,0.0,42.11144233,8.69700413,0.867
True,0.0,42.0419632166776,8.734703720014291,0.0,42.04195106,8.73474347,0.867
True,0.0,42.043711394619365,8.733449724918358,0.0,42.04368718,8.73347976,0.867
True,0.0,42.04322534062667,8.731607232123894,0.0,42.04321637,8.73163787,0.867
True,0.0,42.04217153012482,8.734406721175782,0.0,42.04215842,8.73441099,0.865
True,0.0,42.11269075636015,8.689665083649299,0.0,42.11268798,8.68970168,0.865
True,0.0,42.04395237799327,8.735550716701896,0.0,42.04394461,8.73559272,0.864
True,0.0,42.064201926146126,8.736086964604764,0.0,42.06418909,8.73610411,0.864
True,0.0,42.1135169579288,8.690259081326321,0.0,42.11350688,8.6902893,0.863
