class_id,latitude,longitude,length,breadth,heading,date
1,41.5915979,9.37211906,67.7,14.0,83.0,20180204
1,41.59210671,9.29045728,79.7,17.1,24.0,20180204
1,41.49814246,9.3057912,70.9,16.2,58.0,20180204
1,41.74873993,9.5063696,166.2,38.7,81.0,20180204
1,41.54750106,9.42391681,47.3,15.5,179.0,20180211
1,41.60975936,9.33845604,45.9,15.8,174.0,20180213
1,41.60734911,9.32848618,76.6,22.7,3.0,20180218
1,41.71846548,9.41309294,70.2,18.7,89.0,20180218
0,41.59864249,9.30114335,88.8,21.4,33.0,20180204
0,41.60493126,9.31418142,154.3,37.3,42.0,20180204
0,41.33616149,9.24724856,175.4,49.3,34.0,20180204
0,41.74888394,9.50640564,137.1,43.7,79.0,20180204
0,41.77438299,9.40810047,8.6,4.9,82.0,20180204
0,41.61013318,9.29642429,12.7,4.7,64.0,20180204
0,41.60777463,9.29254697,10.6,4.9,66.0,20180204
0,41.36593443,9.31557386,23.7,9.1,48.0,20180204
0,41.59498408,9.3683085,6.3,4.7,78.0,20180204
0,41.58790086,9.29191502,136.7,28.1,53.0,20180208
0,41.4431689,9.3630474,88.6,46.2,69.0,20180208
0,41.62046487,9.30674686,13.0,4.1,51.0,20180208
0,41.62016547,9.30660561,7.6,4.4,63.0,20180208
0,41.62032335,9.30689097,13.3,4.3,57.0,20180208
0,41.6245726,9.3102836,10.8,4.6,51.0,20180208
0,41.61998028,9.30618647,8.3,4.1,73.0,20180208
0,41.6100338,9.29647623,9.3,3.8,43.0,20180208
0,41.62496277,9.31041136,11.8,4.3,49.0,20180208
0,41.40830122,9.22571941,4.8,4.7,175.0,20180208
0,41.61999306,9.30577015,6.6,5.8,88.0,20180208
0,41.61968486,9.30588559,7.5,3.6,73.0,20180208
0,41.62003904,9.30671025,6.7,4.2,72.0,20180208
0,41.62013065,9.3059066,6.6,3.4,77.0,20180208
0,41.62216048,9.30453668,6.2,3.7,79.0,20180208
0,41.44485387,9.10663647,5.4,4.6,75.0,20180208
0,41.61936339,9.30683521,5.3,4.0,76.0,20180208
0,41.69606932,9.46415594,7.7,4.3,81.0,20180208
0,41.60889257,9.28834898,5.7,3.8,80.0,20180208
0,41.41869748,9.34038021,9.6,4.0,88.0,20180208
0,41.60934185,9.29401027,11.1,5.4,42.0,20180208
0,41.38502504,9.14325994,161.0,34.0,34.0,20180211
0,41.33633922,9.24722998,187.7,44.9,61.0,20180211
0,41.34186061,9.24683438,166.0,49.4,139.0,20180211
0,41.43966482,9.08038626,96.8,30.5,46.0,20180211
0,41.42391955,9.09849164,48.6,20.3,2.0,20180211
