class_id,latitude,longitude,length,breadth,heading,date
1,41.38497161,9.1473766,98.8,27.0,116.0,20190502
1,41.36955049,9.16922236,105.7,24.8,143.0,20190502
1,41.38633084,9.14106478,72.1,23.1,155.0,20190502
1,41.56365303,9.35810038,105.9,31.4,62.0,20190502
1,41.36371494,9.205838,80.4,21.4,12.0,20190502
1,41.35748748,9.23449059,116.8,24.5,174.0,20190502
1,41.39791919,9.24763995,178.9,25.4,63.0,20190502
1,41.35903825,9.21056917,126.7,24.7,165.0,20190502
1,41.38370923,9.15493983,66.0,16.1,166.0,20190502
1,41.33309248,9.17354353,144.7,19.5,139.0,20190502
1,41.51275427,9.33228521,67.0,18.2,76.0,20190502
1,41.37511544,9.1599833,176.4,22.8,141.0,20190502
1,41.59110099,9.28764696,131.1,14.6,34.0,20190502
1,41.59884066,9.30228413,81.1,17.9,40.0,20190502
1,41.57931016,9.38323177,106.6,18.1,113.0,20190502
1,41.61450162,9.34258081,65.7,16.7,10.0,20190502
1,41.5026866,9.27540122,124.4,15.1,28.0,20190502
1,41.57394975,9.37910228,107.8,22.7,107.0,20190502
1,41.37500864,9.26075383,82.9,13.6,126.0,20190502
1,41.34493538,9.22471818,60.5,13.1,152.0,20190502
1,41.38844031,9.13902406,64.2,19.8,164.0,20190502
1,41.67738877,9.37835707,97.9,18.6,78.0,20190507
1,41.61321548,9.35908458,63.4,11.8,17.0,20190507
1,41.37799563,9.15731273,61.0,24.0,137.0,20190511
1,41.39313203,9.08809439,78.8,18.9,119.0,20190511
1,41.58717768,9.3666369,68.7,17.1,54.0,20190511
1,41.39407538,9.08814712,88.5,15.8,129.0,20190511
1,41.622052,9.37882582,88.4,18.3,77.0,20190511
1,41.38071716,9.1664382,58.2,14.6,137.0,20190511
1,41.31505548,9.23342001,166.9,40.7,104.0,20190511
1,41.59203033,9.29044707,41.4,11.2,28.0,20190511
1,41.60719418,9.33702465,49.5,13.7,168.0,20190511
1,41.62604123,9.37177045,68.9,19.4,62.0,20190516
1,41.60582121,9.33090865,68.2,19.3,176.0,20190516
1,41.36544735,9.21692246,97.7,22.3,10.0,20190516
1,41.6280585,9.36179597,60.7,13.1,56.0,20190516
1,41.35618914,9.23798899,110.6,24.1,171.0,20190516
1,41.39126688,9.25602873,90.0,20.9,52.0,20190516
1,41.36701832,9.22957308,97.5,27.1,6.0,20190516
1,41.34077751,9.17648604,66.9,22.6,156.0,20190516
1,41.36691855,9.23217164,120.4,20.5,45.0,20190516
1,41.66574607,9.39759121,135.0,18.9,79.0,20190516
1,41.40822427,9.22333438,46.8,12.7,58.0,20190516
1,41.52098275,9.32039956,77.4,17.8,64.0,20190516
1,41.39695355,9.24682974,60.9,13.2,66.0,20190516
1,41.36613326,9.15519364,91.4,29.0,108.0,20190516
1,41.51892944,9.32182738,84.8,16.7,66.0,20190516
1,41.45169464,9.27556799,177.0,18.5,76.0,20190516
1,41.37735055,9.17054892,39.4,9.8,165.0,20190516
