class_id,latitude,longitude,length,breadth,heading,date
1,41.43603218,9.28028399,172.8,38.3,73.0,20220801
1,41.67800415,9.39211003,163.8,26.8,168.0,20220801
1,41.36345884,9.18089374,111.2,29.8,154.0,20220801
1,41.42772984,9.27770468,167.8,34.8,64.0,20220801
1,41.51947423,9.30345742,128.0,29.6,42.0,20220801
1,41.61682889,9.36403931,110.7,20.9,45.0,20220801
1,41.40379933,9.2686965,106.3,24.4,57.0,20220801
1,41.38289092,9.15620414,78.7,26.4,177.0,20220801
1,41.62073026,9.36395293,89.7,17.4,51.0,20220801
1,41.54704416,9.33738196,183.2,38.8,30.0,20220801
1,41.36269987,9.17778895,99.0,31.2,136.0,20220801
1,41.51334245,9.28752155,126.9,29.7,94.0,20220801
1,41.62119281,9.36175746,101.2,17.9,100.0,20220801
1,41.50803629,9.28246107,67.8,20.6,48.0,20220801
1,41.67921962,9.39146811,78.7,23.8,32.0,20220801
1,41.5719995,9.35830656,95.0,18.4,60.0,20220801
1,41.42196501,9.27139841,76.9,21.5,115.0,20220801
1,41.33950457,9.19944071,177.3,38.8,147.0,20220801
1,41.61548648,9.36192182,102.7,28.1,25.0,20220801
1,41.49644655,9.29477216,123.5,20.2,98.0,20220801
1,41.71300943,9.4162152,97.0,27.3,85.0,20220801
1,41.35482313,9.24617946,96.7,30.5,172.0,20220801
1,41.75359864,9.41808962,169.9,30.2,87.0,20220801
1,41.53123543,9.29719855,70.0,18.4,44.0,20220801
1,41.672609,9.3978194,102.4,18.0,135.0,20220801
1,41.41001185,9.2588069,86.9,17.2,61.0,20220801
1,41.61674809,9.3413566,63.0,20.5,51.0,20220801
1,41.38279755,9.15132511,81.8,18.8,146.0,20220801
1,41.54856881,9.33923371,152.5,32.2,56.0,20220801
1,41.46047721,9.05940072,101.2,24.5,61.0,20220801
1,41.45582764,9.26468569,100.8,14.8,43.0,20220801
1,41.60009381,9.30674123,108.7,20.4,44.0,20220801
1,41.32754925,9.26366995,136.8,32.4,174.0,20220801
1,41.32791746,9.29588212,81.4,20.3,67.0,20220801
1,41.3934352,9.08929306,86.3,16.9,119.0,20220801
1,41.45482457,9.05223709,113.2,18.4,23.0,20220801
1,41.49269493,9.29281217,161.5,21.0,103.0,20220801
1,41.42066289,9.23787687,76.2,13.7,35.0,20220801
1,41.3937393,9.25641409,245.0,31.7,54.0,20220801
1,41.35508186,9.26616558,76.6,16.5,26.0,20220801
1,41.6133329,9.35507457,109.9,22.8,24.0,20220801
1,41.50000237,9.28943237,86.1,15.7,124.0,20220801
1,41.50782381,9.28153527,55.5,16.2,58.0,20220801
1,41.43524444,9.24244414,88.5,19.2,58.0,20220801
1,41.5968817,9.30050283,92.7,16.1,43.0,20220801
1,41.32340664,9.23861539,125.9,27.1,109.0,20220801
1,41.64707808,9.3888456,77.2,16.3,70.0,20220801
1,41.35647941,9.26582199,83.5,17.2,84.0,20220801
1,41.59784819,9.29980937,89.7,18.9,43.0,20220801
1,41.50917934,9.28311712,71.1,15.9,60.0,20220801
1,41.41100482,9.22267376,103.9,32.6,8.0,20220801
1,41.48850954,9.29052603,70.6,18.1,85.0,20220801
1,41.45448857,9.05790925,80.3,17.8,111.0,20220801
1,41.62643656,9.38305768,74.1,20.5,80.0,20220801
1,41.42323307,9.27986674,84.7,21.0,97.0,20220801
1,41.60572879,9.34668045,120.1,18.5,172.0,20220801
1,41.59868364,9.29496406,80.2,15.4,68.0,20220801
1,41.61535498,9.35713715,66.2,14.6,15.0,20220801
1,41.54618874,9.31464187,58.9,15.3,149.0,20220801
1,41.56247699,9.35070364,121.0,16.4,56.0,20220801
1,41.42897002,9.27710005,48.6,17.5,82.0,20220801
