class_id,latitude,longitude,length,breadth,heading,date
1,41.34350436,9.22678557,112.2,30.2,155.0,20181003
1,41.36572726,9.17458538,123.8,22.6,140.0,20181003
1,41.33766034,9.23367818,92.9,25.8,155.0,20181003
1,41.36556629,9.16514722,114.9,27.4,131.0,20181003
1,41.36750594,9.23379877,47.5,13.5,100.0,20181003
1,41.45594617,9.28636548,74.1,17.1,80.0,20181006
1,41.29821514,9.28387441,85.4,22.8,154.0,20181006
1,41.36323087,9.19890276,57.7,15.1,10.0,20181006
1,41.50914754,9.3889266,64.4,18.6,107.0,20181008
1,41.35464986,9.15950008,56.8,18.5,142.0,20181008
1,41.36417776,9.17809825,99.0,20.5,113.0,20181008
1,41.59837807,9.38066909,89.8,16.4,109.0,20181008
1,41.37383287,9.15789728,80.1,19.9,125.0,20181013
1,41.37210234,9.15620824,174.3,29.4,125.0,20181013
1,41.31043999,9.31406103,73.3,17.5,42.0,20181013
1,41.36247447,9.23602471,65.7,18.4,138.0,20181013
1,41.3369832,9.23802425,82.6,26.6,157.0,20181013
1,41.67073048,9.39934199,82.8,16.4,71.0,20181013
1,41.57692054,9.38643506,92.3,16.9,113.0,20181013
1,41.35205293,9.31552326,82.3,17.5,65.0,20181013
1,41.37294079,9.16359505,61.7,15.9,134.0,20181013
1,41.40358238,9.25171286,131.9,15.4,62.0,20181013
1,41.31546503,9.23844913,107.1,13.6,68.0,20181013
1,41.42792737,9.25452918,53.0,13.8,29.0,20181013
1,41.34364508,9.16692064,84.2,14.8,103.0,20181013
1,41.60383041,9.35916251,186.3,32.3,171.0,20181013
1,41.61140975,9.33638356,91.3,17.5,16.0,20181013
1,41.37353989,9.14349476,79.7,17.0,150.0,20181013
1,41.35276355,9.18191832,72.2,18.0,104.0,20181013
1,41.48015264,9.28952904,46.6,10.0,58.0,20181013
1,41.35939134,9.21360127,46.0,10.7,53.0,20181013
1,41.68019685,9.3829189,56.8,18.8,175.0,20181013
1,41.54041634,9.39788773,42.5,17.9,39.0,20181013
1,41.49577254,9.2900598,63.0,16.1,100.0,20181013
1,41.38398559,9.15630694,50.5,18.5,1.0,20181013
1,41.36443671,9.15311504,117.7,33.7,107.0,20181016
