class_id,latitude,longitude,length,breadth,heading,date
1,41.34174234,9.26353977,105.9,30.5,50.0,20200903
1,41.37226277,9.23367798,79.3,21.5,79.0,20200903
1,41.35395457,9.20251619,95.9,30.3,153.0,20200903
1,41.46030757,9.05880172,55.9,15.7,65.0,20200903
1,41.35493889,9.23858244,95.7,30.1,176.0,20200903
1,41.3870803,9.13372448,62.5,12.4,128.0,20200903
1,41.6873355,9.39637716,91.9,23.4,27.0,20200903
1,41.62674118,9.37983719,64.5,19.2,76.0,20200903
1,41.46646573,9.06432495,68.1,15.4,52.0,20200903
1,41.32152066,9.28062188,94.6,29.4,142.0,20200903
1,41.50160336,9.50990777,167.2,30.6,88.0,20200903
1,41.39163087,9.12689968,72.5,17.2,155.0,20200903
1,41.3848125,9.15721509,73.2,25.4,10.0,20200903
1,41.60744411,9.35837286,79.4,22.8,171.0,20200903
1,41.45706469,9.05600051,59.5,13.6,49.0,20200903
1,41.61169604,9.34296487,74.2,25.1,22.0,20200903
1,41.31436769,9.23046197,113.5,28.1,127.0,20200903
1,41.60065312,9.37224386,60.7,18.6,117.0,20200903
1,41.48736147,9.30963623,63.8,20.0,77.0,20200903
1,41.63047589,9.35926894,60.7,21.9,108.0,20200903
1,41.66511001,9.39806032,112.8,24.3,80.0,20200903
1,41.61023504,9.34184367,64.7,18.3,170.0,20200903
1,41.38266099,9.15083967,82.0,17.4,127.0,20200903
1,41.43015834,9.23508553,54.0,17.9,38.0,20200903
1,41.35614385,9.22433335,126.9,37.2,174.0,20200903
1,41.36362781,9.19806313,61.5,24.0,0.0,20200903
1,41.36126025,9.20812612,73.9,20.3,179.0,20200903
1,41.39407361,9.25618629,56.9,14.8,58.0,20200903
1,41.44173501,9.24976062,65.9,15.5,49.0,20200903
1,41.37207936,9.1460649,198.0,35.6,95.0,20200903
1,41.58911296,9.38113082,72.4,17.5,28.0,20200903
1,41.58896335,9.37436389,80.9,21.1,66.0,20200903
1,41.46788605,9.27695299,53.0,13.4,163.0,20200903
1,41.36657344,9.22702536,64.9,16.4,34.0,20200903
1,41.36193734,9.29849681,81.4,24.8,7.0,20200903
1,41.36033649,9.2008549,90.6,28.4,4.0,20200903
1,41.68282166,9.38881475,71.8,19.0,25.0,20200903
1,41.77220371,9.41058678,98.1,20.1,90.0,20200903
1,41.55618946,9.33992631,70.9,17.3,31.0,20200903
1,41.59473872,9.37092369,75.7,17.6,82.0,20200903
1,41.34316177,9.23050472,73.5,16.2,151.0,20200903
1,41.62503876,9.36534948,69.2,23.2,122.0,20200903
1,41.44135205,9.34430673,136.1,29.2,77.0,20200903
1,41.3898096,9.25252175,87.8,19.8,55.0,20200903
1,41.45296715,9.29291745,67.3,17.5,75.0,20200903
1,41.54927125,9.32089888,62.9,13.5,47.0,20200903
1,41.6068881,9.33701294,76.2,16.7,173.0,20200903
1,41.41035141,9.26097488,55.3,14.0,120.0,20200903
1,41.35253353,9.20787549,56.3,17.5,152.0,20200903
1,41.33407995,9.25090283,65.4,17.7,169.0,20200903
1,41.39199593,9.31154727,61.3,18.1,102.0,20200903
1,41.66992175,9.40041177,46.0,17.7,79.0,20200903
1,41.58453365,9.36592189,89.8,16.6,64.0,20200903
1,41.38560166,9.13580658,57.8,15.6,133.0,20200903
1,41.64466813,9.38794089,88.8,20.9,72.0,20200903
1,41.346369,9.22345263,64.1,15.6,130.0,20200903
1,41.63539988,9.38053125,128.2,25.0,60.0,20200903
1,41.58696129,9.3645216,50.4,13.9,96.0,20200903
1,41.37811951,9.31538395,73.0,17.7,70.0,20200903
1,41.37271599,9.27300094,51.2,14.5,58.0,20200903
1,41.36026519,9.19575738,69.5,16.5,4.0,20200903
1,41.35362258,9.21912671,77.5,18.1,142.0,20200903
1,41.35118311,9.25201944,46.7,18.2,91.0,20200903
1,41.54462256,9.3133535,37.0,9.1,47.0,20200903
1,41.50106465,9.36255859,77.1,17.3,26.0,20200903
1,41.69913209,9.50575031,73.5,22.6,84.0,20200903
1,41.39908052,9.28121471,45.5,13.0,81.0,20200903
1,41.53275565,9.29934556,55.5,14.8,48.0,20200903
1,41.67760892,9.37894812,51.4,20.3,107.0,20200903
1,41.35671822,9.27150064,48.6,14.7,50.0,20200903
1,41.61877922,9.3627018,59.9,14.2,103.0,20200903
1,41.36421878,9.17783381,50.9,13.8,135.0,20200903
1,41.34907081,9.24055246,57.3,14.3,111.0,20200903
1,41.46499768,9.40374428,71.2,18.1,99.0,20200903
1,41.54679684,9.33632897,64.7,15.2,49.0,20200903
1,41.52904288,9.29835065,40.9,16.8,27.0,20200903
1,41.45122559,9.05899382,48.7,14.6,96.0,20200903
1,41.36574167,9.27743361,43.9,11.9,38.0,20200903
1,41.40531382,9.27361475,54.4,12.8,40.0,20200903
1,41.42505833,9.32754641,131.8,23.2,59.0,20200903
1,41.69906192,9.40509135,81.8,18.6,97.0,20200903
1,41.33391817,9.25435389,55.8,14.2,155.0,20200903
1,41.3862835,9.14372408,63.5,20.9,166.0,20200903
1,41.52167037,9.28567734,53.8,13.9,127.0,20200903
1,41.60860477,9.32185728,39.1,9.3,139.0,20200903
1,41.69810501,9.50461992,156.7,31.1,86.0,20200903
1,41.40466577,9.28989171,77.6,18.8,83.0,20200903
1,41.36367923,9.18206515,82.3,20.1,176.0,20200903
