class_id,latitude,longitude,length,breadth,heading,date
1,41.30867091,9.21105048,162.1,23.3,121.0,20181109
1,41.4841288,9.50993904,53.3,14.0,84.0,20181113
1,41.36682144,9.24734693,45.0,12.5,142.0,20181113
1,41.31549875,9.24777955,58.3,14.3,146.0,20181113
1,41.52225127,9.28026019,51.6,20.1,123.0,20181118
1,41.46234578,9.06051097,66.7,14.6,55.0,20181122
1,41.4336626,9.25215749,98.6,24.6,39.0,20181122
0,41.34400399,9.17909462,116.8,29.8,120.0,20181104
0,41.40831713,9.22541408,7.3,4.1,86.0,20181109
0,41.44087552,9.32341399,10.9,3.7,86.0,20181109
0,41.40725922,9.22449829,8.1,3.7,84.0,20181109
0,41.51099823,9.39205991,11.5,4.2,87.0,20181110
0,41.73992263,9.41628337,7.7,3.5,74.0,20181110
0,41.6544759,9.39708088,18.7,6.9,66.0,20181110
0,41.49802478,9.40904629,13.9,5.1,76.0,20181110
0,41.76334724,9.41061818,8.6,4.1,78.0,20181110
0,41.59924111,9.40284236,7.6,3.9,76.0,20181110
0,41.76278423,9.41409292,5.6,4.6,79.0,20181110
0,41.54900396,9.40713744,7.6,3.9,59.0,20181110
0,41.68868216,9.38563726,5.7,4.4,79.0,20181110
0,41.68007883,9.45805108,112.8,19.4,87.0,20181113
0,41.31552415,9.2477144,47.2,18.3,148.0,20181113
0,41.43170457,9.28249393,16.6,5.3,68.0,20181113
0,41.30204009,9.25009081,13.4,3.8,66.0,20181113
0,41.34883832,9.17232416,96.6,32.9,116.0,20181118
0,41.42612055,9.23018837,33.6,21.3,76.0,20181118
0,41.46097317,9.27490486,31.6,28.8,74.0,20181118
0,41.63717792,9.35879114,11.9,3.8,71.0,20181122
0,41.33381418,9.26396794,19.2,5.8,111.0,20181124
0,41.36597373,9.31547849,8.4,5.3,93.0,20181124
0,41.62006275,9.30771469,60.7,14.9,63.0,20181128
0,41.64057892,9.37347128,69.7,15.4,85.0,20181128
0,41.52284712,9.27395102,98.5,34.2,33.0,20181128
0,41.36272891,9.22234043,64.6,17.3,26.0,20181128
0,41.33618475,9.24740879,204.2,52.9,28.0,20181128
0,41.59730539,9.34024811,51.6,24.7,135.0,20181128
0,41.61286314,9.37013687,48.8,19.7,107.0,20181128
0,41.61637414,9.30713297,48.8,17.7,22.0,20181128
0,41.53404351,9.4930623,55.7,13.6,83.0,20181128
0,41.54216334,9.30822348,41.1,16.6,77.0,20181128
0,41.37404421,9.17273283,24.3,11.3,146.0,20181128
0,41.68423158,9.37842063,4.4,4.1,80.0,20181128
0,41.68368238,9.40285695,40.7,16.9,174.0,20181128
0,41.54811164,9.31487664,29.8,22.2,160.0,20181128
0,41.72100622,9.40870498,9.7,6.9,74.0,20181128
