class_id,latitude,longitude,length,breadth,heading,date
1,41.61369524,9.35280797,121.7,35.2,14.0,20190803
1,41.4340848,9.08098479,100.8,19.9,149.0,20190803
1,41.36398685,9.17396422,99.5,19.2,148.0,20190803
1,41.69217041,9.40531518,110.2,19.4,102.0,20190803
1,41.59828109,9.30136808,86.9,17.7,33.0,20190803
1,41.63055803,9.37233996,119.8,18.6,46.0,20190803
1,41.61918105,9.36096306,84.0,20.7,57.0,20190803
1,41.59318721,9.29471552,98.2,15.7,39.0,20190803
1,41.69509272,9.40577778,74.2,14.4,80.0,20190803
1,41.63671686,9.3788037,96.7,20.4,52.0,20190803
1,41.59362977,9.29441615,90.3,18.2,27.0,20190803
1,41.61526883,9.34261878,156.9,19.2,173.0,20190803
1,41.45722063,9.05476183,61.8,17.1,55.0,20190803
1,41.61447,9.34563839,86.8,20.8,17.0,20190803
1,41.39310993,9.24277005,90.8,15.5,60.0,20190803
1,41.66174792,9.39368338,90.1,17.0,68.0,20190803
1,41.59849335,9.30941957,80.6,14.9,61.0,20190803
1,41.62172874,9.36998276,113.7,17.9,47.0,20190803
1,41.42006316,9.23072538,89.5,14.6,71.0,20190803
1,41.60354017,9.31188963,60.0,13.0,54.0,20190803
1,41.61002771,9.3292599,81.2,19.8,170.0,20190803
1,41.46878517,9.27396985,77.5,15.9,158.0,20190803
1,41.63483597,9.35392421,63.4,15.8,147.0,20190803
1,41.3858359,9.14739939,112.2,24.3,82.0,20190803
1,41.61165557,9.36747961,80.7,19.7,110.0,20190803
1,41.52607188,9.28596737,100.3,28.4,14.0,20190803
1,41.61521611,9.3520865,45.5,13.9,20.0,20190803
1,41.68494245,9.38596934,71.7,20.4,103.0,20190803
1,41.60561699,9.3162612,50.5,12.8,26.0,20190803
1,41.50451225,9.28917491,86.7,20.1,101.0,20190803
1,41.54088033,9.31049177,91.1,15.3,59.0,20190803
1,41.38473828,9.15171137,49.3,16.2,8.0,20190803
1,41.45123482,9.26092486,65.7,18.7,42.0,20190803
1,41.68840162,9.40721677,80.1,14.5,71.0,20190803
1,41.62193755,9.31362361,89.5,18.0,148.0,20190803
1,41.44384594,9.2375853,85.2,17.5,26.0,20190803
1,41.61576685,9.34596261,79.3,19.3,163.0,20190803
1,41.70232895,9.40916169,113.4,31.1,81.0,20190803
1,41.7839417,9.40507628,56.2,11.3,115.0,20190803
1,41.60298015,9.36458654,109.6,19.8,171.0,20190803
1,41.55484971,9.32729281,66.8,16.0,42.0,20190803
1,41.63492598,9.35777026,43.8,15.5,86.0,20190803
1,41.753534,9.40918339,85.3,18.2,89.0,20190803
1,41.64206864,9.38364161,48.6,12.7,38.0,20190803
1,41.50457551,9.28960663,73.0,18.6,98.0,20190803
1,41.61809937,9.33652623,42.6,13.8,168.0,20190803
1,41.56733223,9.35637185,134.6,29.4,67.0,20190803
1,41.3826559,9.23675978,147.2,22.5,73.0,20190803
1,41.52267178,9.29347587,72.3,15.9,43.0,20190803
1,41.59228345,9.29082617,71.2,13.9,38.0,20190803
1,41.6089914,9.33402979,54.6,17.4,167.0,20190803
1,41.54830487,9.32295284,55.4,16.1,30.0,20190803
1,41.6119214,9.34050318,117.7,20.0,12.0,20190803
1,41.60671438,9.33334668,47.4,15.6,174.0,20190803
1,41.61480794,9.35279406,47.4,12.4,20.0,20190803
1,41.67954477,9.38154369,95.3,22.1,160.0,20190803
1,41.3806345,9.23980256,145.9,37.3,40.0,20190803
1,41.60947357,9.33033192,51.2,18.9,1.0,20190803
1,41.4494713,9.2857599,114.1,21.5,64.0,20190803
1,41.75085962,9.40856984,62.3,17.5,93.0,20190803
1,41.59143809,9.29097018,55.4,12.8,7.0,20190803
1,41.5985399,9.30357288,39.8,12.0,44.0,20190803
1,41.61242256,9.3405538,115.3,16.9,17.0,20190803
1,41.54992644,9.32296439,57.7,15.5,32.0,20190803
1,41.52269316,9.30111188,148.6,19.2,55.0,20190803
1,41.63636664,9.37370654,63.2,16.8,35.0,20190803
1,41.60391666,9.35726626,86.6,19.4,173.0,20190803
1,41.63536976,9.38409466,75.6,15.9,64.0,20190803
1,41.44526006,9.06683706,51.7,19.3,129.0,20190803
1,41.38597172,9.14235115,156.4,26.7,121.0,20190803
1,41.58369103,9.3665277,171.8,39.5,64.0,20190803
1,41.44101647,9.27408913,88.9,18.8,77.0,20190803
1,41.37003201,9.27908936,121.9,33.1,88.0,20190803
1,41.42053637,9.23031649,51.9,12.2,23.0,20190803
1,41.47203774,9.28115407,82.3,23.0,31.0,20190803
