detect_id,scene_id,lat,lon,detect_timestamp,speed_kn_inferred,heading_deg_inferred,length_m_inferred,presence_score,nonvessel_score,cloud_score,likely_infrastructure,potential_ice,matching_score,matching_score_secondary,matching_confidence,mmsi,ais_lat_before,ais_lat_after,ais_lon_before,ais_lon_after,ais_speed_kn_before,ais_speed_kn_after,ais_course_before,ais_course_after,ais_timestamp_before,ais_timestamp_after,ais_length_m,month,geometry
S2A_MSIL1C_20221114T101301_N0400_R022_T32TNL_20221114T121031;9.304525000;41.3245870,S2A_MSIL1C_20221114T101301_N0400_R022_T32TNL_20221114T121031,41.324587,9.304525,2022-11-14 10:19:32.676 UTC,21.33,272.24620501606256,173.1,0.911,0.0353115126,0.0002335631297373,False,False,0.0,,,,,,,,,,,,,,,11,POINT (9.304525 41.324587)
S2B_MSIL1C_20221102T102059_N0400_R065_T32TNL_20221102T122533;9.238379000;41.4370680,S2B_MSIL1C_20221102T102059_N0400_R065_T32TNL_20221102T122533,41.437068,9.238379,2022-11-02 10:29:23.514 UTC,0.43,3.437746770784939,17.9,0.525,0.3879341185,0.0114624778392642,False,False,3.905123986226017e-05,,0.1167587747582041,254984436.0,,43.36179333333334,,9.709891666666664,,15.0,,8.9,,2022-11-02 18:25:29 UTC,,11,POINT (9.238379 41.437068)
S2A_MSIL1C_20221117T102311_N0400_R065_T32TNM_20221117T140119;9.370209000;41.6128140,S2A_MSIL1C_20221117T102311_N0400_R065_T32TNM_20221117T140119,41.612814,9.370209,2022-11-17 10:29:13.321 UTC,6.14,173.0332541295086,39.5,0.53,0.51690346,0.0041073248332304,True,False,0.0,,,,,,,,,,,,,,,11,POINT (9.370209 41.612814)
S2B_MSIL1C_20221122T102239_N0400_R065_T32TNL_20221122T105727;9.355162000;41.5390010,S2B_MSIL1C_20221122T102239_N0400_R065_T32TNL_20221122T105727,41.539001,9.355162,2022-11-22 10:29:25.186 UTC,9.69,158.70930925123804,156.2,0.392,0.6512175202,0.4132165819280602,False,False,1.6854078828862698e-06,,0.1743064670760838,247015403.0,,43.389958333333325,,10.161841666666668,,21.399999618530277,,20.600000381469727,,2022-11-22 16:33:25 UTC,,11,POINT (9.355162 41.539001)
S2A_MSIL1C_20221127T102351_N0400_R065_T32TNM_20221127T122039;9.307867000;41.6274990,S2A_MSIL1C_20221127T102351_N0400_R065_T32TNM_20221127T122039,41.627499,9.307867,2022-11-27 10:29:11.098 UTC,0.34,45.26366581533504,27.0,0.487,0.7802177072,0.1772770760586705,False,False,0.0,,,,,,,,,,,,,,,11,POINT (9.307867 41.627499)
S2B_MSIL1C_20221102T102059_N0400_R065_T32TNL_20221102T122533;9.258607000;41.3766730,S2B_MSIL1C_20221102T102059_N0400_R065_T32TNL_20221102T122533,41.376673,9.258607,2022-11-02 10:29:23.514 UTC,5.68,304.90479933851947,27.5,0.878,0.0227009822,0.0715336978757485,False,False,0.0002658560046207,,0.4575994360378625,261028460.0,,41.389,,9.16113,,3.400000095367432,,276.29998779296875,,2022-11-02 11:39:30 UTC,16.728442717220865,11,POINT (9.258607 41.376673)
S2B_MSIL1C_20221102T102059_N0400_R065_T32TNM_20221102T122533;9.351103000;41.6308880,S2B_MSIL1C_20221102T102059_N0400_R065_T32TNM_20221102T122533,41.630888,9.351103,2022-11-02 10:29:09.369 UTC,0.21,210.36676314193363,22.5,0.484,0.0284066722,0.0648959667804725,False,False,23.79734287484268,0.0518267388245272,0.9759492569843808,232042958.0,41.630968333333335,41.630965,9.350965,9.350981666666666,0.1000000014901161,0.0,158.33823906279642,173.74553314103508,2022-11-02 10:23:23 UTC,2022-11-02 10:32:19 UTC,17.770240419836,11,POINT (9.351103 41.630888)
S2B_MSIL1C_20221102T102059_N0400_R065_T32TNM_20221102T122533;9.313037000;41.6042460,S2B_MSIL1C_20221102T102059_N0400_R065_T32TNM_20221102T122533,41.604246,9.313037,2022-11-02 10:29:09.369 UTC,0.24,99.1216985576324,24.2,0.513,0.3671077788,0.0299738802842162,False,False,0.0001339040466963,,0.4006664742280907,227609040.0,41.589128333333335,41.591115,9.29105,9.284066666666666,8.699999809265137,0.0,26.799999237060547,134.4,2022-11-02 06:26:26 UTC,2022-11-02 16:01:41 UTC,16.623468287229723,11,POINT (9.313037 41.604246)
S2B_MSIL1C_20221102T102059_N0400_R065_T32TNM_20221102T122533;9.351827000;41.6314260,S2B_MSIL1C_20221102T102059_N0400_R065_T32TNM_20221102T122533,41.631426,9.351827,2022-11-02 10:29:09.369 UTC,0.35,216.09634109324185,23.6,0.55,0.0195106249,0.0648959667804725,False,False,23.03138118296551,0.1466422028050612,0.9751733659993808,232043195.0,41.63148833333333,41.63146666666666,9.351781666666666,9.351750000000001,0.1,0.1,300.92044941945545,182.37077321940967,2022-11-02 10:21:41 UTC,2022-11-02 10:33:38 UTC,24.123942496812504,11,POINT (9.351827 41.631426)
S2B_MSIL1C_20221112T102159_N0400_R065_T32TNL_20221112T122353;9.369389000;41.4899560,S2B_MSIL1C_20221112T102159_N0400_R065_T32TNL_20221112T122353,41.489956,9.369389,2022-11-12 10:29:25.061 UTC,0.21,190.3132403123548,25.1,0.758,0.041807916,0.2005470205728906,False,False,1.1460735026714666e-05,,0.5828585528099253,247047424.0,43.263065,,9.86757833333333,,38.59999847412109,,190.5,,2022-11-12 07:50:15 UTC,,,11,POINT (9.369389 41.489956)
