class_id,latitude,longitude,length,breadth,heading,date
1,41.38944,9.153167,64.35,13.8,92,20220203
1,41.37012,9.141322,64.35,13.8,2,20220204
1,41.69467,9.583167,175.08,24.4,6,20220202
1,41.65717,9.431465,165.8,29.0,31,20220201
0,41.58831,9.292432,165.8,29.0,38,20220203
0,41.46842,9.2684,13.0,6.0,151,20220201
1,41.59048,9.285432,14.0,4.0,151,20220202
1,41.63132,9.389125,18.0,4.0,151,20220204
0,41.37398,9.178186,,,151,20220201
0,41.37399,9.178193,,,151,20220202
0,41.374,9.178198,,,151,20220203
0,41.37399,9.178184,,,151,20220204
1,41.44906,9.067768,,,151,20220204
1,41.38823,9.162848,12.0,7.0,151,20220201
0,41.38825,9.16286,12.0,7.0,151,20220202
0,41.38829,9.16281,12.0,7.0,151,20220203
0,41.38823,9.162817,12.0,7.0,151,20220204
1,41.59427,9.295548,12.0,3.0,151,20220201
0,41.58812,9.292307,145.0,25.7,39,20220210
1,41.31525,9.304298,91.0,13.83,50,20220209
1,41.3053,9.286511,223.3,26.0,51,20220210
1,41.31947,9.151052,64.35,13.8,179,20220206
1,41.38891,9.149854,64.35,13.8,73,20220208
1,41.38904,9.154997,64.35,13.8,128,20220209
0,41.38871,9.155543,64.35,13.8,103,20220210
1,41.58939,9.2934,176.38,24.8,36,20220206
0,41.60389,9.351198,90.67,15.85,67,20220206
0,41.58737,9.291607,90.67,15.85,37,20220207
1,41.66439,9.383801,13.0,6.0,151,20220206
1,41.60863,9.364482,14.0,4.0,151,20220206
0,41.37399,9.17819,,,151,20220206
0,41.374,9.178192,,,151,20220207
0,41.374,9.178184,,,151,20220208
0,41.374,9.178185,,,151,20220209
0,41.374,9.178184,,,151,20220210
0,41.37399,9.178175,,,151,20220211
0,41.38822,9.162862,12.0,7.0,151,20220206
1,41.38828,9.162827,12.0,7.0,151,20220211
1,41.5938,9.297872,12.0,4.0,151,20220209
1,41.5909,9.287845,12.0,4.0,151,20220210
1,41.35988,9.382055,199.9,36.0,71,20220209
1,41.36506,9.143585,13.0,7.0,151,20220214
1,41.70004,9.460466,177.7,25.03,22,20220213
1,41.6332,9.468495,17.0,5.0,151,20220216
1,41.38879,9.155098,64.35,13.8,66,20220213
1,41.37093,9.128935,64.35,13.8,34,20220216
1,41.37832,9.136793,64.35,13.8,36,20220218
0,41.58773,9.29018,90.6,13.75,128,20220216
1,41.71315,9.578537,175.08,24.4,7,20220218
0,41.58832,9.29242,165.8,29.0,38,20220215
0,41.58832,9.292423,165.8,29.0,38,20220217
1,41.31786,9.276425,16.0,4.0,151,20220213
1,41.42293,9.24115,16.0,4.0,151,20220214
1,41.57205,9.435968,16.0,4.0,151,20220218
0,41.5878,9.290107,90.67,15.85,127,20220218
1,41.30038,9.206883,104.59,15.6,100,20220215
0,41.37401,9.178186,,,151,20220213
0,41.37399,9.178205,,,151,20220214
0,41.37401,9.178186,,,151,20220215
0,41.374,9.178186,,,151,20220216
0,41.374,9.17818,,,151,20220217
0,41.374,9.178195,,,151,20220218
1,41.60466,9.313392,12.0,3.0,151,20220217
1,41.3148,9.289122,148.53,22.7,55,20220218
1,41.40917,9.091637,7.0,3.0,151,20220213
1,41.47543,9.073802,16.0,5.0,151,20220225
0,41.58781,9.29015,90.6,13.75,128,20220223
1,41.40351,9.412145,175.08,24.4,31,20220223
0,41.58833,9.292421,165.8,29.0,38,20220224
0,41.37399,9.178195,,,151,20220220
0,41.374,9.178192,,,151,20220221
0,41.37399,9.178186,,,151,20220223
0,41.37401,9.17819,,,151,20220224
0,41.37399,9.178184,,,151,20220225
1,41.37079,9.072984,74.77,14.3,151,20220220
0,41.59072,9.285483,22.0,6.0,133,20220225
1,41.34764,9.209528,14.0,5.0,151,20220223
1,41.42128,9.281458,14.0,5.0,151,20220224
1,41.35357,9.367877,195.1,25.2,52,20220227
0,41.58745,9.291688,90.67,15.85,37,20220228
0,41.37399,9.17818,,,151,20220228
1,41.60869,9.342525,22.0,6.0,89,20220228
1,41.3147,9.170134,16.0,9.0,151,20220227
