class_id,latitude,longitude,length,breadth,heading,date
1,41.31554,9.258913,11.0,7.0,134,20220501
0,41.4753,9.073822,14.0,8.0,151,20220503
1,41.30586,9.179548,64.35,13.8,165,20220501
1,41.30667,9.173695,64.35,13.8,167,20220502
1,41.34106,9.163326,64.35,13.8,166,20220503
1,41.32192,9.166865,64.35,13.8,170,20220504
1,41.2964,9.181495,64.35,13.8,160,20220505
0,41.38875,9.155586,64.35,13.8,102,20220506
1,41.59103,9.288905,,,151,20220504
1,41.33629,9.16692,,,151,20220505
1,41.61068,9.315585,17.0,5.0,151,20220506
1,41.39128,9.071234,14.0,7.0,151,20220501
0,41.38879,9.160398,14.0,7.0,151,20220502
1,41.37855,9.391983,88.56,12.4,66,20220505
1,41.37483,9.11801,142.1,18.0,69,20220503
1,41.36806,9.170816,15.0,4.0,151,20220504
1,41.36703,9.164006,18.0,6.0,151,20220504
0,41.58832,9.292421,165.8,29.0,38,20220503
0,41.58832,9.29242,165.8,29.0,38,20220505
1,41.46044,9.284823,10.0,3.0,12,20220502
1,41.76504,9.427733,10.0,3.0,176,20220503
0,41.3975,9.129148,12.0,7.0,151,20220503
1,41.3266,9.267669,2.0,1.0,151,20220502
0,41.59,9.284628,2.0,1.0,151,20220503
0,41.58995,9.284618,2.0,1.0,151,20220505
0,41.58998,9.284625,2.0,1.0,151,20220506
1,41.36302,9.371322,89.95,15.4,59,20220504
1,41.33642,9.172493,12.0,4.0,151,20220505
1,41.38255,9.147023,12.0,4.0,151,20220503
1,41.38719,9.147226,12.0,6.0,48,20220502
1,41.35254,9.148526,12.0,6.0,5,20220503
1,41.57279,9.442473,168.0,28.0,154,20220503
0,41.58735,9.29158,90.67,15.85,37,20220506
1,41.4315,9.462,108.19,18.2,49,20220504
1,41.305,9.232761,12.0,3.0,151,20220502
1,41.36967,9.267259,17.0,5.0,151,20220503
0,41.46903,9.268362,17.0,5.0,151,20220504
0,41.39044,9.155488,14.0,6.0,151,20220503
1,41.59992,9.307027,38.0,9.0,57,20220504
1,41.3226,9.181095,17.0,5.0,151,20220504
0,41.38962,9.159462,12.0,4.0,151,20220501
0,41.38953,9.15899,12.0,4.0,151,20220505
1,41.35801,9.318064,18.0,5.0,143,20220501
0,41.38961,9.159795,18.0,5.0,160,20220504
0,41.3896,9.159822,18.0,5.0,160,20220505
1,41.37568,9.1628,18.0,4.0,151,20220502
1,41.38758,9.147578,18.0,4.0,151,20220504
1,41.5157,9.440614,50.0,10.0,22,20220501
0,41.38906,9.164824,50.0,10.0,75,20220502
0,41.38903,9.164825,50.0,10.0,74,20220503
1,41.33775,9.19418,12.0,4.0,151,20220503
1,41.32833,9.25203,10.0,3.0,151,20220502
1,41.38592,9.1457,12.0,3.0,22,20220501
1,41.29625,9.250112,12.0,3.0,168,20220505
1,41.31945,9.303525,223.3,26.0,56,20220505
1,41.35869,9.20063,10.0,5.0,151,20220504
1,41.38881,9.15979,15.0,6.0,151,20220504
1,41.30057,9.24264,15.0,6.0,151,20220505
1,41.37948,9.131492,15.0,8.0,151,20220503
0,41.37399,9.178188,,,151,20220501
0,41.37399,9.178192,,,151,20220502
0,41.37399,9.178186,,,151,20220503
0,41.37399,9.17819,,,151,20220504
0,41.37399,9.178185,,,151,20220505
0,41.37399,9.178202,,,151,20220506
