class_id,latitude,longitude,length,breadth,heading,date
1,41.31788,9.297988,15.0,5.0,151,20220601
1,41.38623,9.140748,12.0,4.0,106,20220602
1,41.36757,9.214004,11.0,7.0,58,20220603
1,41.3373,9.228127,22.0,5.0,114,20220602
0,41.37489,9.225182,16.0,8.0,151,20220602
0,41.37477,9.2253,16.0,8.0,151,20220603
1,41.31583,9.27145,15.0,5.0,140,20220603
1,41.29373,9.257802,12.0,4.0,151,20220602
1,41.428,9.06089,,,151,20220602
1,41.45853,9.476097,14.0,5.0,151,20220602
1,41.53317,9.305103,13.0,7.0,151,20220601
1,41.60432,9.348891,13.0,7.0,151,20220602
1,41.47106,9.269257,13.0,7.0,151,20220603
1,41.30469,9.170551,64.35,13.8,172,20220601
1,41.32285,9.180037,64.35,13.8,146,20220602
1,41.34814,9.17572,64.35,13.8,150,20220603
1,41.45856,9.05665,12.0,6.0,151,20220602
1,41.59237,9.290874,13.0,7.0,151,20220602
1,41.39333,9.276967,16.0,5.0,151,20220602
1,41.38461,9.121208,14.0,4.0,92,20220603
1,41.442,9.310034,13.0,4.0,151,20220603
0,41.59098,9.284773,15.0,8.0,8,20220601
0,41.59098,9.28475,15.0,8.0,14,20220602
1,41.5277,9.278216,15.0,8.0,47,20220603
1,41.30866,9.156078,14.0,8.0,151,20220602
1,41.31573,9.250167,12.0,4.0,151,20220603
1,41.53891,9.31486,,,151,20220603
0,41.59029,9.284587,,,172,20220602
0,41.3887,9.159123,43.4,9.0,160,20220602
0,41.38871,9.159133,43.4,9.0,159,20220603
0,41.59424,9.293128,29.0,12.0,56,20220603
0,41.58832,9.292417,165.8,29.0,38,20220602
1,41.33508,9.252143,19.0,7.0,151,20220601
1,41.29984,9.186395,18.0,5.0,151,20220602
0,41.38875,9.161018,14.0,5.0,10,20220603
0,41.66335,9.382875,12.0,4.0,151,20220602
1,41.38724,9.093817,14.0,5.0,114,20220603
1,41.57274,9.364017,14.0,4.0,151,20220602
1,41.34615,9.166427,44.68,8.02,146,20220603
1,41.33216,9.247082,16.0,5.0,151,20220601
1,41.42716,9.05373,11.0,4.0,151,20220601
1,41.35577,9.266751,19.0,5.0,151,20220603
1,41.3859,9.145581,32.0,7.0,151,20220603
1,41.33736,9.232473,14.0,4.0,151,20220603
