class_id,latitude,longitude,confidence,length,breadth,heading,date,aoi_id,source
1,42.34096855,9.54414852,0.47,55.0,15.1,136.0,20180324,2,2_20180324_9532ed5b-b921-4526-a109-90b0dc10c356
1,42.40789608,9.55708567,0.607,69.9,14.1,83.0,20180407,2,2_20180407_72033038-a2cd-4bdb-af01-e225a1c4285e
1,42.48958967,9.60391831,0.454,99.3,21.1,102.0,20180407,2,2_20180407_72033038-a2cd-4bdb-af01-e225a1c4285e
1,42.34182858,9.54456868,0.486,77.4,17.9,6.0,20180423,2,2_20180423_20b944e2-9a53-43a9-b865-aef9aac138c8
1,42.42743611,9.55544604,0.396,97.9,20.5,97.0,20180507,2,2_20180507_cc0d5e94-d7b1-4285-9bd3-52528ef662f8
1,42.34323041,9.54345456,0.68,52.5,14.5,63.0,20180520,2,2_20180520_37d1e91c-9c4a-46c3-bdf7-a5e8ca930843
1,42.58878801,9.51885564,0.587,102.9,17.1,115.0,20180520,2,2_20180520_37d1e91c-9c4a-46c3-bdf7-a5e8ca930843
1,42.32613165,9.5701265,0.654,99.9,15.9,143.0,20180525,2,2_20180525_3f4c0fa4-5e0d-4ea4-98b0-7229810dcb0d
1,42.20233759,9.61971028,0.601,99.7,28.0,87.0,20180526,2,2_20180526_d23ef4b8-3166-4d25-9791-24ee1ba82cf0
1,42.33442877,9.54887743,0.581,55.5,11.3,75.0,20180526,2,2_20180526_d23ef4b8-3166-4d25-9791-24ee1ba82cf0
1,42.24573707,9.58991361,0.633,233.5,48.9,89.0,20180603,2,2_20180603_9c895fe3-1d4c-49f8-aec0-8a77265ef0b0
1,42.49899191,9.58274452,0.532,40.3,8.6,71.0,20180603,2,2_20180603_9c895fe3-1d4c-49f8-aec0-8a77265ef0b0
1,42.47443802,9.57160915,0.491,55.8,13.2,71.0,20180603,2,2_20180603_9c895fe3-1d4c-49f8-aec0-8a77265ef0b0
1,42.34199388,9.54464789,0.707,60.5,15.6,150.0,20180609,2,2_20180609_ce38d654-f94d-4eaa-9521-dcc021c6a9c4
1,42.26590265,9.57640503,0.648,68.3,16.2,99.0,20180609,2,2_20180609_ce38d654-f94d-4eaa-9521-dcc021c6a9c4
1,42.30603993,9.55770913,0.576,65.0,11.9,116.0,20180609,2,2_20180609_ce38d654-f94d-4eaa-9521-dcc021c6a9c4
1,42.35611716,9.56221002,0.531,41.3,11.6,48.0,20180609,2,2_20180609_ce38d654-f94d-4eaa-9521-dcc021c6a9c4
1,42.36483205,9.54918131,0.478,56.2,13.0,56.0,20180609,2,2_20180609_ce38d654-f94d-4eaa-9521-dcc021c6a9c4
1,42.44405999,9.60293556,0.732,95.8,27.0,101.0,20180616,2,2_20180616_bd65d92a-bf94-4bc1-81f3-61542b1401d5
1,42.55710168,9.54995612,0.721,85.4,21.4,86.0,20180616,2,2_20180616_bd65d92a-bf94-4bc1-81f3-61542b1401d5
1,42.46609979,9.57013787,0.712,118.0,24.9,97.0,20180616,2,2_20180616_bd65d92a-bf94-4bc1-81f3-61542b1401d5
