class_id,latitude,longitude,confidence,length,breadth,heading,date,aoi_id,source
1,42.35655169,11.17269682,0.685,128.7,27.0,179.0,20180110,18,18_20180110_991cde14-a2ac-4372-8641-cf7c66589a5f
1,42.38347437,11.08768345,0.614,140.0,28.0,101.0,20180110,18,18_20180110_991cde14-a2ac-4372-8641-cf7c66589a5f
1,42.34193924,11.0254841,0.416,44.4,11.7,102.0,20180110,18,18_20180110_991cde14-a2ac-4372-8641-cf7c66589a5f
1,42.38245093,11.08833306,0.511,137.8,31.4,107.0,20180113,18,18_20180113_6091f2db-10bb-42b9-a709-40ac189cb42e
1,42.25475417,11.08859229,0.339,197.6,39.1,101.0,20180123,18,18_20180123_42865e0e-c263-44fe-83ed-3da325b28d1c
1,42.27984539,11.11536191,0.365,33.5,22.7,114.0,20180130,18,18_20180130_b904ccf1-92fd-498d-aa99-d9a37acc2e8d
1,42.26163138,11.08968444,0.549,164.6,24.2,103.0,20180204,18,18_20180204_bfa6a8c8-d6eb-4949-ade1-6428fd9fd257
1,42.3003014,11.1334095,0.34,182.6,29.6,56.0,20180204,18,18_20180204_bfa6a8c8-d6eb-4949-ade1-6428fd9fd257
1,42.21604261,11.26465008,0.659,112.6,31.6,145.0,20180209,18,18_20180209_f5fa8124-f396-4102-beb7-237b0c0e980b
1,42.27643698,11.13907179,0.598,172.1,32.0,81.0,20180210,18,18_20180210_3e275544-0113-4c50-ad74-cc53d54fe35b
1,42.3741889,11.09162498,0.594,100.2,26.5,104.0,20180210,18,18_20180210_3e275544-0113-4c50-ad74-cc53d54fe35b
1,42.34936047,11.22816185,0.528,59.7,26.8,26.0,20180306,18,18_20180306_424828d2-55df-4bf5-9cba-75b48b1edc2d
1,42.36762912,11.07927799,0.667,115.8,32.1,90.0,20180314,18,18_20180314_bd3704fd-0c73-45b6-94c5-bdaae05de0e1
1,42.29660258,11.21426342,0.731,149.9,30.3,144.0,20180324,18,18_20180324_28a8f04c-2ef0-41cc-8aea-bdb06cd3f43d
1,42.31292921,11.14220204,0.645,101.0,19.1,52.0,20180324,18,18_20180324_28a8f04c-2ef0-41cc-8aea-bdb06cd3f43d
1,42.33441108,11.17138335,0.553,148.2,17.1,56.0,20180326,18,18_20180326_a43f0f4b-9ea5-4c06-9987-cab95e7e442f
1,42.35804051,11.03387788,0.527,44.9,13.1,68.0,20180326,18,18_20180326_a43f0f4b-9ea5-4c06-9987-cab95e7e442f
1,42.26423778,11.12767211,0.658,50.4,13.7,72.0,20180414,18,18_20180414_ebf7e13c-d6eb-4595-b9ba-a8d8a67b0586
1,42.26506755,11.12454378,0.618,89.2,25.2,149.0,20180421,18,18_20180421_425a83db-8de0-4094-b838-9d0994881582
1,42.32311261,11.10898521,0.402,148.5,17.1,101.0,20180421,18,18_20180421_425a83db-8de0-4094-b838-9d0994881582
1,42.24645118,11.11383329,0.326,56.8,19.1,53.0,20180421,18,18_20180421_425a83db-8de0-4094-b838-9d0994881582
1,42.35811627,11.18873711,0.649,143.8,39.7,29.0,20180424,18,18_20180424_c533ebe2-9414-4273-a696-42fbe844395a
1,42.3672395,11.14824321,0.692,51.7,14.8,77.0,20180429,18,18_20180429_3d05a7c1-5282-4a99-a77b-f5de66642e03
1,42.3563909,11.19014587,0.664,98.5,23.3,29.0,20180429,18,18_20180429_3d05a7c1-5282-4a99-a77b-f5de66642e03
1,42.36262134,11.19383898,0.648,102.5,27.3,30.0,20180429,18,18_20180429_3d05a7c1-5282-4a99-a77b-f5de66642e03
1,42.26370065,11.13160094,0.62,94.1,19.9,80.0,20180429,18,18_20180429_3d05a7c1-5282-4a99-a77b-f5de66642e03
1,42.35858072,11.18985564,0.613,142.5,27.7,18.0,20180429,18,18_20180429_3d05a7c1-5282-4a99-a77b-f5de66642e03
1,42.26265793,11.1203443,0.605,64.0,16.4,127.0,20180429,18,18_20180429_3d05a7c1-5282-4a99-a77b-f5de66642e03
1,42.36074714,11.1487902,0.519,51.6,18.5,134.0,20180429,18,18_20180429_3d05a7c1-5282-4a99-a77b-f5de66642e03
1,42.33657102,11.18757354,0.499,28.2,10.3,60.0,20180509,18,18_20180509_61b8d2f5-cf35-4164-9e11-ace5eaeaf301
1,42.37175407,11.20520159,0.54,124.2,22.9,40.0,20180512,18,18_20180512_a372b3ef-feed-4071-927e-ee1b9961ce0f
1,42.37542671,11.12524311,0.395,25.9,9.5,144.0,20180512,18,18_20180512_a372b3ef-feed-4071-927e-ee1b9961ce0f
1,42.35592613,11.14319927,0.671,91.9,23.7,8.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.34610783,11.11601123,0.667,76.6,22.6,10.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.24636505,11.16529006,0.657,89.1,20.2,129.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.35870026,11.15832447,0.639,85.0,21.4,7.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.3669305,11.21375815,0.612,343.4,60.6,61.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.25389176,11.13074847,0.598,68.2,19.5,49.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.36354653,11.01027573,0.586,140.8,34.8,177.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.35998313,11.18753963,0.569,133.6,33.8,10.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.34948483,11.13054892,0.526,126.9,20.6,18.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.3651262,11.14773423,0.51,66.9,13.4,102.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.34094952,11.1505069,0.455,59.7,14.4,15.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.3433675,11.10624669,0.397,206.0,39.4,16.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.3564276,11.17392756,0.386,95.7,28.3,179.0,20180520,18,18_20180520_bd3e9053-f431-4ade-9e48-2365a504619a
1,42.31530907,11.2098878,0.575,138.4,29.3,146.0,20180525,18,18_20180525_25f9442e-60ec-4100-8c5d-66436337100f
1,42.35614262,11.16175481,0.559,179.6,29.3,143.0,20180525,18,18_20180525_25f9442e-60ec-4100-8c5d-66436337100f
1,42.31965063,11.18002086,0.423,140.9,38.6,63.0,20180525,18,18_20180525_25f9442e-60ec-4100-8c5d-66436337100f
1,42.37094994,11.14808213,0.519,43.5,12.3,140.0,20180526,18,18_20180526_fc3d7bb8-1758-41d2-a314-e7bb4993acea
1,42.35335607,11.01185198,0.446,152.9,26.8,168.0,20180526,18,18_20180526_fc3d7bb8-1758-41d2-a314-e7bb4993acea
1,42.36398594,11.197851,0.43,100.9,29.0,44.0,20180526,18,18_20180526_fc3d7bb8-1758-41d2-a314-e7bb4993acea
1,42.35586477,11.08681542,0.422,189.3,49.4,6.0,20180526,18,18_20180526_fc3d7bb8-1758-41d2-a314-e7bb4993acea
1,42.36565776,11.20407865,0.712,72.8,16.7,45.0,20180601,18,18_20180601_cd06cb06-4dee-4b06-b7aa-8398855cfb5f
1,42.38022441,11.09767346,0.677,133.4,26.3,141.0,20180601,18,18_20180601_cd06cb06-4dee-4b06-b7aa-8398855cfb5f
1,42.35039586,10.9817219,0.663,98.6,24.6,4.0,20180601,18,18_20180601_cd06cb06-4dee-4b06-b7aa-8398855cfb5f
1,42.36344513,11.20994142,0.662,63.8,16.4,13.0,20180601,18,18_20180601_cd06cb06-4dee-4b06-b7aa-8398855cfb5f
1,42.37191966,11.13206861,0.64,73.0,13.4,138.0,20180601,18,18_20180601_cd06cb06-4dee-4b06-b7aa-8398855cfb5f
1,42.39069977,11.08470447,0.639,171.7,31.9,124.0,20180601,18,18_20180601_cd06cb06-4dee-4b06-b7aa-8398855cfb5f
1,42.36594625,11.16873659,0.591,37.5,11.3,166.0,20180601,18,18_20180601_cd06cb06-4dee-4b06-b7aa-8398855cfb5f
1,42.36547937,11.17757781,0.317,36.2,8.7,84.0,20180601,18,18_20180601_cd06cb06-4dee-4b06-b7aa-8398855cfb5f
1,42.37357358,11.12953844,0.74,79.8,25.3,122.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.36294213,11.19644994,0.701,69.2,19.9,39.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.35982835,11.1898376,0.7,62.4,18.6,27.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.35874688,11.13708544,0.693,67.1,22.0,141.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.37002338,11.21342396,0.688,62.3,19.0,53.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.29694679,11.14980518,0.678,73.7,25.2,75.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.33570535,11.20079158,0.67,195.4,37.0,59.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.3654411,11.20106882,0.669,76.8,21.1,46.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.34744345,11.14608872,0.663,76.4,20.8,20.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.3147383,11.17773845,0.662,65.8,21.7,52.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.37043733,11.2089768,0.657,71.4,21.8,54.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
1,42.36296278,11.14974821,0.638,43.9,13.3,112.0,20180603,18,18_20180603_9634d9b6-5881-4363-80a1-c51d93681b3d
