uuid,lat,lon,speed,course,heading,navstat,destination,last_pos_epoch,last_pos_utc,distance_nm,mmsi,imo,type,type_specific,length,breadth,country_iso
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.32917,9.320435,46.0,277.0,511,,CLASS B,1654095720,2022-06-01 15:02:00,40.3918413097245,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.33756,9.25164,18.0,151.0,511,,CLASS B,1654099440,2022-06-01 16:04:00,37.7981633031259,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.33757,9.251675,0.0,,511,,CLASS B,1654100280,2022-06-01 16:18:00,37.7988573887822,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.33757,9.251675,0.0,,511,,CLASS B,1654100340,2022-06-01 16:19:00,37.7988573887822,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.33753,9.251652,4.0,334.0,511,,CLASS B,1654158480,2022-06-02 08:28:00,37.7998178077018,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.33753,9.251652,4.0,334.0,511,,CLASS B,1654158900,2022-06-02 08:35:00,37.7998178077018,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.35594,9.204013,64.0,288.0,511,,CLASS B,1654174920,2022-06-02 13:02:00,35.5058106777732,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.38833,9.162692,0.0,,511,,CLASS B,1654178100,2022-06-02 13:55:00,32.8135761939418,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.38833,9.162692,0.0,,511,,CLASS B,1654178160,2022-06-02 13:56:00,32.8135761939418,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
02a05e5a-47a6-bb9d-a28f-36ff7bde268b,41.38833,9.162699,0.0,,511,,CLASS B,1654257360,2022-06-03 11:56:00,32.8137952457464,227955320.0,,Sailing Vessel,Sailing Vessel,12.0,4.0,FR
