uuid,lat,lon,speed,course,heading,navstat,destination,last_pos_epoch,last_pos_utc,distance_nm,mmsi,imo,type,type_specific,length,breadth,country_iso
0d1ab7f5-6c44-81a3-c199-14803fc7c948,41.47531,9.07377,0.0,,511,,CLASS B,1669991700,2022-12-02 14:35:00,26.287480747541,227909190.0,,Pleasure Craft,Pleasure Craft,14.0,8.0,FR
1e866890-54f8-8472-256c-c983337c1f46,41.31141,9.297488,184.0,50.0,51,,FRPVO,1669971840,2022-12-02 09:04:00,40.3722223598337,247013400.0,9203174.0,Passenger,Ro-Ro or Passenger Ship,176.38,24.8,IT
1e866890-54f8-8472-256c-c983337c1f46,41.53225,9.437685,179.0,9.0,11,,FRPVO,1669975260,2022-12-02 10:01:00,38.1988418498265,247013400.0,9203174.0,Passenger,Ro-Ro or Passenger Ship,176.38,24.8,IT
1e866890-54f8-8472-256c-c983337c1f46,41.58827,9.292521,0.0,239.0,37,,FRPVO,1669978920,2022-12-02 11:02:00,30.8843706307011,247013400.0,9203174.0,Passenger,Ro-Ro or Passenger Ship,176.38,24.8,IT
1e866890-54f8-8472-256c-c983337c1f46,41.58826,9.292526,0.0,207.0,37,,FRAJA,1669982460,2022-12-02 12:01:00,30.8848048524891,247013400.0,9203174.0,Passenger,Ro-Ro or Passenger Ship,176.38,24.8,IT
1e866890-54f8-8472-256c-c983337c1f46,41.58823,9.292505,0.0,168.0,37,,FRAJA,1669986180,2022-12-02 13:03:00,30.884610114174,247013400.0,9203174.0,Passenger,Ro-Ro or Passenger Ship,176.38,24.8,IT
1e866890-54f8-8472-256c-c983337c1f46,41.58827,9.292497,0.0,7.0,37,,FRAJA,1669989660,2022-12-02 14:01:00,30.8833723070124,247013400.0,9203174.0,Passenger,Ro-Ro or Passenger Ship,176.38,24.8,IT
1e866890-54f8-8472-256c-c983337c1f46,41.58828,9.29251,0.0,301.0,37,,FRAJA,1669993200,2022-12-02 15:00:00,30.8836868332719,247013400.0,9203174.0,Passenger,Ro-Ro or Passenger Ship,176.38,24.8,IT
1e866890-54f8-8472-256c-c983337c1f46,41.43664,9.447982,187.0,184.0,188,,FRAJA,1669996980,2022-12-02 16:03:00,41.2031493017791,247013400.0,9203174.0,Passenger,Ro-Ro or Passenger Ship,176.38,24.8,IT
23992536-61c1-5559-3b13-944539d3f908,41.31387,9.292258,181.0,234.0,235,,BORUSAN>FRSET,1669996980,2022-12-02 16:03:00,40.100436514981,247376300.0,9784049.0,Cargo,Vehicles Carrier,199.9,32.0,IT
31a7573d-0c01-76b3-dce6-faed8ade18bc,41.30132,9.18842,196.0,277.0,275,,PALMA DE MALLORCA,1669903260,2022-12-01 14:01:00,37.4817032925768,319078700.0,1011989.0,High Speed Craft,Yacht,77.0,10.0,KY
38ebb9d6-bf7e-5879-42ca-2af88aa7bda6,41.29847,9.22568,185.0,269.0,270,,PALMA DE MALLORCA,1669903260,2022-12-01 14:01:00,38.7049989020426,518100623.0,9609809.0,Other,Utility Vessel,43.59,7.92,CK
3be7920f-6d6b-9928-758d-bd14fde18679,41.3139,9.299664,198.0,40.0,41,,FR MRS P48,1669870860,2022-12-01 05:01:00,40.3380260802304,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.6056,9.365225,134.0,273.0,276,,PORTO VECCHIO,1669874340,2022-12-01 05:59:00,33.5870383243754,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58831,9.292425,0.0,141.0,38,,FR MRS P48,1669877820,2022-12-01 06:57:00,30.8794723990069,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58831,9.292427,0.0,331.0,38,,FR MRS P48,1669881600,2022-12-01 08:00:00,30.8795555935653,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58832,9.29242,0.0,351.0,39,,FR MRS P48,1669885020,2022-12-01 08:57:00,30.8790381943555,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58831,9.292432,0.0,220.0,38,,FR MRS P48,1669888860,2022-12-01 10:01:00,30.879763580002,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58831,9.292428,0.0,65.0,38,,FR MRS P48,1669891740,2022-12-01 10:49:00,30.8795971908456,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58832,9.292427,0.0,52.0,38,,FR MRS P48,1669895880,2022-12-01 11:58:00,30.8793293771048,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58832,9.292428,0.0,256.0,39,,FR MRS P48,1669899540,2022-12-01 12:59:00,30.8793709746472,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58831,9.292423,0.0,0.0,39,,FR MRS P48,1669903200,2022-12-01 14:00:00,30.8793892045647,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58831,9.292418,0.0,70.0,38,,FR MRS P48,1669906560,2022-12-01 14:56:00,30.8791812184998,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58832,9.29242,0.0,39.0,39,,FR MRS P48,1669910220,2022-12-01 15:57:00,30.8790381943555,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.58758,9.406065,197.0,157.0,153,,FR MRS P48,1669913940,2022-12-01 16:59:00,35.6717389968893,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
3be7920f-6d6b-9928-758d-bd14fde18679,41.30915,9.278805,208.0,227.0,226,,FR MRS P48,1669917480,2022-12-01 17:58:00,39.8713332199467,227184000.0,9050826.0,Passenger,Ro-Ro or Passenger Ship,165.8,29.0,FR
56ce8bb0-12dc-22cb-7025-c6498dbdf4d1,41.30723,9.295854,73.0,50.0,48,,IT BRI,1669957440,2022-12-02 05:04:00,40.4959369732401,636024609.0,9447782.0,Cargo,General Cargo,139.72,16.72,LR
6dd8a9da-3c46-f2c7-cfaf-fcb0d056d5e8,41.40214,9.483275,95.0,249.0,251,,DK AAL,1669870860,2022-12-01 05:01:00,43.6318266216684,255806309.0,9523964.0,Cargo,General Cargo,106.07,15.5,PT
6dd8a9da-3c46-f2c7-cfaf-fcb0d056d5e8,41.31467,9.289844,101.0,230.0,231,,DK AAL,1669874400,2022-12-01 06:00:00,39.9891519025578,255806309.0,9523964.0,Cargo,General Cargo,106.07,15.5,PT
72a66c0d-2f60-8788-3848-862bbfb753eb,41.35566,9.35731,220.0,231.0,231,,CVV\BCN,1669867260,2022-12-01 04:01:00,40.6138391264157,247243600.0,9351488.0,Passenger,Ro-Ro or Passenger Ship,253.8,30.41,IT
72a66c0d-2f60-8788-3848-862bbfb753eb,41.31588,9.297452,213.0,52.0,53,,BCN\CVV,1669989720,2022-12-02 14:02:00,40.18364052605,247243600.0,9351488.0,Passenger,Ro-Ro or Passenger Ship,253.8,30.41,IT
77eb9a7b-489e-b766-a3ca-48f975b897a7,41.30967,9.293,110.0,54.0,58,,ITSAL,1669968060,2022-12-02 08:01:00,40.3013866075555,247392000.0,7360617.0,Passenger,Ro-Ro or Passenger Ship,120.78,21.6,IT
78bdf816-f89c-d8ee-e3f1-ca96bf13bc20,41.37779,9.401383,160.0,248.0,248,,ES PMI,1669935660,2022-12-01 23:01:00,41.3787268095692,247282500.0,9398888.0,Passenger,Passenger Ship,253.33,37.6,IT
7e37f327-73f1-d052-5c2a-8610136d3f48,41.33005,9.335545,91.0,51.0,50,,ITPIO,1669903260,2022-12-01 14:01:00,40.8628366144927,244562000.0,9357509.0,Cargo,Cargo or Containership,110.78,14.0,NL
7e37f327-73f1-d052-5c2a-8610136d3f48,41.43793,9.44814,84.0,27.0,29,,ITPIO,1669906740,2022-12-01 14:59:00,41.170251663816,244562000.0,9357509.0,Cargo,Cargo or Containership,110.78,14.0,NL
7e37f327-73f1-d052-5c2a-8610136d3f48,41.56306,9.544363,86.0,29.0,32,,ITPIO,1669910520,2022-12-01 16:02:00,42.0269505182321,244562000.0,9357509.0,Cargo,Cargo or Containership,110.78,14.0,NL
8ce82211-2e12-8c12-b49b-8d18a8467d97,41.32832,9.302999,85.0,220.0,223,,FOS,1669989840,2022-12-02 14:04:00,39.8490723151552,422826100.0,9148087.0,Cargo,General Cargo,88.0,11.31,IR
903e1b3b-f92a-9684-45e1-e88bef561c65,41.38828,9.163323,0.0,,511,,CLASS B,1669935540,2022-12-01 22:59:00,32.8354865380125,227990020.0,,Sailing Vessel,Sailing Vessel,13.0,2.0,FR
903e1b3b-f92a-9684-45e1-e88bef561c65,41.38831,9.163308,0.0,,511,,CLASS B,1669940220,2022-12-02 00:17:00,32.8337219431852,227990020.0,,Sailing Vessel,Sailing Vessel,13.0,2.0,FR
903e1b3b-f92a-9684-45e1-e88bef561c65,41.38827,9.163353,0.0,,511,,CLASS B,1669979520,2022-12-02 11:12:00,32.8368575166327,227990020.0,,Sailing Vessel,Sailing Vessel,13.0,2.0,FR
903e1b3b-f92a-9684-45e1-e88bef561c65,41.38829,9.163337,0.0,,511,,CLASS B,1669995360,2022-12-02 15:36:00,32.8354932553367,227990020.0,,Sailing Vessel,Sailing Vessel,13.0,2.0,FR
903e1b3b-f92a-9684-45e1-e88bef561c65,41.38828,9.163348,0.0,,511,,CLASS B,1670017140,2022-12-02 21:39:00,32.8362693204931,227990020.0,,Sailing Vessel,Sailing Vessel,13.0,2.0,FR
903e1b3b-f92a-9684-45e1-e88bef561c65,41.38826,9.163328,0.0,,511,,CLASS B,1670020140,2022-12-02 22:29:00,32.8365063931435,227990020.0,,Sailing Vessel,Sailing Vessel,13.0,2.0,FR
903e1b3b-f92a-9684-45e1-e88bef561c65,41.38825,9.163359,1.0,,511,,CLASS B,1670025180,2022-12-02 23:53:00,32.837908671471,227990020.0,,Sailing Vessel,Sailing Vessel,13.0,2.0,FR
